천안시,"701,756"
동남구,"277,625"
목천음,"23,354"
풍세면,"11,186"
광덕면,"4,289"
북면,"4,635"
성남면,"3,586"
수신면,"2,832"
병천면,"6,691"
동면,"2,306"
중앙동,"5,171"
문성동,"8,413"
원성 1동,"8,196"
원성 2동,"9,304"
봉명동,"18,331"
일봉동,"23,985"
신방동,"43,487"
청룡동,"58,681"
신안동,"43,178"
서북구,"424,131"
성환읍,"25,707"
성거읍,"23,151"
직산읍,"21,887"
입장면,"9,669"
성정 1동,"18,232"
성정 2동,"27,221"
쌍용 1동,"12,907"
쌍용 2동,"35,288"
쌍용 3동,"17,437"
백석동,"41,150"
불당동,0
불당 1동,"32,076"
불당 2동,"37,371"
부성 1동,"55,373"
부성 2동,"66,662"
