정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
CAB285000945,구상골사거리,36.81704051,127.13513663,2024-10-28,945.0,34010,충청남도 천안시,천안BIS
CAB285000946,구상골사거리,36.8169929,127.135371,2024-10-28,946.0,34010,충청남도 천안시,천안BIS
CAB285000947,성정동 전자랜드,36.8142555,127.1343088,2024-10-28,947.0,34010,충청남도 천안시,천안BIS
CAB285000948,대우5차아파트,36.8110063,127.13368575,2024-10-28,948.0,34010,충청남도 천안시,천안BIS
CAB285000949,봉명 청솔아파트,36.811046,127.1333588,2024-10-28,949.0,34010,충청남도 천안시,천안BIS
CAB285000950,계광중학교,36.80808965,127.13292741,2024-10-28,950.0,34010,충청남도 천안시,천안BIS
CAB285000951,계광중학교,36.80775156,127.13263627,2024-10-28,951.0,34010,충청남도 천안시,천안BIS
CAB285000952,주공5단지아파트,36.81386294,127.13820241,2024-10-28,952.0,34010,충청남도 천안시,천안BIS
CAB285000953,성정시장(주공5단지),36.81364577,127.13913085,2024-10-28,953.0,34010,충청남도 천안시,천안BIS
CAB285000957,사라리,36.84713795,127.11837131,2024-10-28,957.0,34010,충청남도 천안시,천안BIS
CAB285000958,차암공단입구,36.84914999,127.11759892,2024-10-28,958.0,34010,충청남도 천안시,천안BIS
CAB285000959,차암공단입구,36.84950957,127.11739807,2024-10-28,959.0,34010,충청남도 천안시,천안BIS
CAB285000960,직산대림아파트,36.85989538,127.12056406,2024-10-28,960.0,34010,충청남도 천안시,천안BIS
CAB285000961,천안산업단지관리공단,36.85493571,127.12060558,2024-10-28,961.0,34010,충청남도 천안시,천안BIS
CAB285000962,2공단입구,36.85160962,127.12625241,2024-10-28,962.0,34010,충청남도 천안시,천안BIS
CAB285000964,서북경찰서,36.8568163,127.13651574,2024-10-28,964.0,34010,충청남도 천안시,천안BIS
CAB285000965,서북경찰서,36.85713795,127.13806074,2024-10-28,965.0,34010,충청남도 천안시,천안BIS
CAB285000966,업성초등학교,36.85853298,127.14113574,2024-10-28,966.0,34010,충청남도 천안시,천안BIS
CAB285000968,메가도매센터농수산물도매시장,36.86175799,127.15120241,2024-10-28,968.0,34010,충청남도 천안시,천안BIS
CAB285000969,농수산물도매시장,36.86149465,127.15095075,2024-10-28,969.0,34010,충청남도 천안시,천안BIS
CAB285000970,천안상업고등학교e편한세상천안부성아파트,36.85753461,127.15309408,2024-10-28,970.0,34010,충청남도 천안시,천안BIS
CAB285000971,천안상업고등학교e편한세상천안부성아파트,36.856378,127.1533774,2024-10-28,971.0,34010,충청남도 천안시,천안BIS
CAB285000972,공주대공과대학,36.8511805,127.155496,2024-10-28,972.0,34010,충청남도 천안시,천안BIS
CAB285000973,공주대공과대학,36.84916294,127.15521908,2024-10-28,973.0,34010,충청남도 천안시,천안BIS
CAB285000974,부성1동행정복지센터,36.84286627,127.15287574,2024-10-28,974.0,34010,충청남도 천안시,천안BIS
CAB285000975,두정역마을,36.8370013,127.15129574,2024-10-28,975.0,34010,충청남도 천안시,천안BIS
CAB285000976,두정역마을,36.8358068,127.1517227,2024-10-28,976.0,34010,충청남도 천안시,천안BIS
CAB285000978,e편한세상3차 두정역입구,36.83254631,127.15192241,2024-10-28,978.0,34010,충청남도 천안시,천안BIS
CAB285000979,두정역입구,36.83139281,127.15181036,2024-10-28,979.0,34010,충청남도 천안시,천안BIS
CAB285000980,이안아파트 코아루아파트,36.82884583,127.15221516,2024-10-28,980.0,34010,충청남도 천안시,천안BIS
CAB285000981,역말오거리 천안희망초,36.82691798,127.15271241,2024-10-28,981.0,34010,충청남도 천안시,천안BIS
CAB285000982,역말오거리 천안희망초,36.82615796,127.15308741,2024-10-28,982.0,34010,충청남도 천안시,천안BIS
CAB285000986,한방병원,36.82446964,127.12604407,2024-10-28,986.0,34010,충청남도 천안시,천안BIS
CAB285000987,백석현대아파트,36.82240578,127.12571072,2024-10-28,987.0,34010,충청남도 천안시,천안BIS
CAB285000988,백석현대아파트,36.82264132,127.12580241,2024-10-28,988.0,34010,충청남도 천안시,천안BIS
CAB285000989,백석농공단지,36.8245896,127.1098373,2024-10-28,989.0,34010,충청남도 천안시,천안BIS
CAB285000990,백석농공단지,36.82571406,127.10966797,2024-10-28,990.0,34010,충청남도 천안시,천안BIS
CAB285000991,화성조명,36.82895536,127.10729656,2024-10-28,991.0,34010,충청남도 천안시,천안BIS
CAB285000992,영진기계,36.82896224,127.10707622,2024-10-28,992.0,34010,충청남도 천안시,천안BIS
CAB285000993,브라운스톤아파트,36.83003128,127.11428241,2024-10-28,993.0,34010,충청남도 천안시,천안BIS
CAB285000995,벽산블루밍아파트,36.82620132,127.11330741,2024-10-28,995.0,34010,충청남도 천안시,천안BIS
CAB285000996,종합운동장,36.82260404,127.11331916,2024-10-28,996.0,34010,충청남도 천안시,천안BIS
CAB285000997,백석그린빌아파트,36.82320628,127.12119741,2024-10-28,997.0,34010,충청남도 천안시,천안BIS
CAB285000998,백석그린빌아파트,36.82342963,127.12104074,2024-10-28,998.0,34010,충청남도 천안시,천안BIS
CAB285000999,종합운동장,36.82288298,127.11360074,2024-10-28,999.0,34010,충청남도 천안시,천안BIS
CAB285001001,백석농공단지입구,36.82308465,127.11083908,2024-10-28,1001.0,34010,충청남도 천안시,천안BIS
CAB285001003,종합운동장,36.8204819,127.1110299,2024-10-28,1003.0,34010,충청남도 천안시,천안BIS
CAB285001004,종합운동장,36.81851795,127.11074074,2024-10-28,1004.0,34010,충청남도 천안시,천안BIS
CAB285001010,불당동문화카페거리,36.80163461,127.10673907,2024-10-28,1010.0,34010,충청남도 천안시,천안BIS
CAB285001012,화덕1리,36.7622684,127.3978749,2024-10-28,1012.0,34010,충청남도 천안시,천안BIS
CAB285001013,한화꿈에그린아파트,36.80162298,127.11377907,2024-10-28,1013.0,34010,충청남도 천안시,천안BIS
CAB285001014,불당 한성아파트,36.80177419,127.11451696,2024-10-28,1014.0,34010,충청남도 천안시,천안BIS
CAB285001015,천안시청 서북구보건소,36.81392798,127.11583574,2024-10-28,1015.0,34010,충청남도 천안시,천안BIS
CAB285001016,천안시청 서북구보건소,36.81408213,127.11559496,2024-10-28,1016.0,34010,충청남도 천안시,천안BIS
CAB285001017,백석11단지,36.82000963,127.11735241,2024-10-28,1017.0,34010,충청남도 천안시,천안BIS
CAB285001018,백석11단지,36.82016488,127.11759104,2024-10-28,1018.0,34010,충청남도 천안시,천안BIS
CAB285001019,벽산블루밍아파트,36.82471461,127.11234741,2024-10-28,1019.0,34010,충청남도 천안시,천안BIS
CAB285001020,번영로가구타운,36.84624629,127.12275074,2024-10-28,1020.0,34010,충청남도 천안시,천안BIS
CAB285001021,2공단입구,36.8506213,127.12476574,2024-10-28,1021.0,34010,충청남도 천안시,천안BIS
CAB285001022,외국인 기업 전용단지,36.83621536,127.11424366,2024-10-28,1022.0,34010,충청남도 천안시,천안BIS
CAB285001023,외국인 기업 전용단지,36.83612435,127.11395741,2024-10-28,1023.0,34010,충청남도 천안시,천안BIS
CAB285001024,두정도서관,36.833738,127.134867,2024-10-28,1024.0,34010,충청남도 천안시,천안BIS
CAB285001025,두정도서관,36.833889,127.1355,2024-10-28,1025.0,34010,충청남도 천안시,천안BIS
CAB285001026,펜타폴리스 2차,36.833575,127.139626,2024-10-28,1026.0,34010,충청남도 천안시,천안BIS
CAB285001027,두정대림아파트,36.8336754,127.1407063,2024-10-28,1027.0,34010,충청남도 천안시,천안BIS
CAB285001028,두정대우1차아파트,36.83345631,127.14432907,2024-10-28,1028.0,34010,충청남도 천안시,천안BIS
CAB285001029,두정대우1차아파트,36.833283,127.144099,2024-10-28,1029.0,34010,충청남도 천안시,천안BIS
CAB285001030,한성3차아파트,36.83488796,127.14571407,2024-10-28,1030.0,34010,충청남도 천안시,천안BIS
CAB214000030,평택역,36.9915335,127.087084,2024-10-28,30.0,34010,충청남도 천안시,천안BIS
CAB214000033,신평11통(유천3리),36.9730529,127.1066877,2024-10-28,33.0,34010,충청남도 천안시,천안BIS
CAB214001064,신평9통(유천1리),36.9767328,127.1155617,2024-10-28,1064.0,34010,충청남도 천안시,천안BIS
CAB214001065,유천2리,36.9768048,127.1113649,2024-10-28,1065.0,34010,충청남도 천안시,천안BIS
CAB214001664,신평11동(유천3리),36.9729227,127.1068232,2024-10-28,1664.0,34010,충청남도 천안시,천안BIS
CAB214010093,안성천교,36.97262129,127.11591741,2024-10-28,36.0,34010,충청남도 천안시,천안BIS
CAB214015634,평궁리,36.97621,127.07697,2024-10-28,15634.0,34010,충청남도 천안시,천안BIS
CAB214015642,삼성아파트,36.99172,127.07846,2024-10-28,15642.0,34010,충청남도 천안시,천안BIS
CAB214015643,삼성아파트,36.99183,127.07857,2024-10-28,15643.0,34010,충청남도 천안시,천안BIS
CAB214015645,신궁리 입구,36.98139,127.07865,2024-10-28,15645.0,34010,충청남도 천안시,천안BIS
CAB214015648,신궁리,36.98135,127.07877,2024-10-28,15648.0,34010,충청남도 천안시,천안BIS
CAB214015650,통복육교,36.99401,127.07864,2024-10-28,15650.0,34010,충청남도 천안시,천안BIS
CAB214015651,통복육교,36.99414,127.07933,2024-10-28,15651.0,34010,충청남도 천안시,천안BIS
CAB214015666,평택초등학교,36.98813,127.08034,2024-10-28,15666.0,34010,충청남도 천안시,천안BIS
CAB214015667,평택초등학교,36.98825,127.08049,2024-10-28,15667.0,34010,충청남도 천안시,천안BIS
CAB214015669,군문주공아파트앞,36.98696,127.08072,2024-10-28,15669.0,34010,충청남도 천안시,천안BIS
CAB214015678,통복시장,36.99559,127.08303,2024-10-28,15678.0,34010,충청남도 천안시,천안BIS
CAB214015682,통복시장,36.99578,127.08315,2024-10-28,15682.0,34010,충청남도 천안시,천안BIS
CAB214015704,우리은행,36.995,127.08667,2024-10-28,15704.0,34010,충청남도 천안시,천안BIS
CAB214015722,평택버스터미널,36.99098805,127.08856673,2024-10-28,76.0,34010,충청남도 천안시,천안BIS
CAB214015760,노와2리,36.95139976,127.09515365,2024-10-28,15760.0,34010,충청남도 천안시,천안BIS
CAB214015763,노와2리,36.95131105,127.0942881,2024-10-28,15763.0,34010,충청남도 천안시,천안BIS
CAB214015808,유천3동,36.97300384,127.10593962,2024-10-28,32.0,34010,충청남도 천안시,천안BIS
CAB214015811,유천3동,36.9729404,127.10639149,2024-10-28,1665.0,34010,충청남도 천안시,천안BIS
CAB214015833,유천2리,36.97670058,127.11168637,2024-10-28,35.0,34010,충청남도 천안시,천안BIS
CAB214015845,신평9통(유천1리),36.97687871,127.11551178,2024-10-28,34.0,34010,충청남도 천안시,천안BIS
CAB214015848,안성천교앞,36.97253127,127.11616574,2024-10-28,37.0,34010,충청남도 천안시,천안BIS
CAB214048453,평택역,36.9918,127.0866,2024-10-28,48453.0,34010,충청남도 천안시,천안BIS
CAB214048589,버스터미널,36.99005289,127.08828798,2024-10-28,31.0,34010,충청남도 천안시,천안BIS
CAB214048675,군문주공아파트,36.98692,127.08059,2024-10-28,48675.0,34010,충청남도 천안시,천안BIS
CAB231000603,하송산,36.9399811,127.2353773,2024-10-28,603.0,34010,충청남도 천안시,천안BIS
CAB231000604,하송산,36.943032,127.2371412,2024-10-28,604.0,34010,충청남도 천안시,천안BIS
CAB231000614,가온고교,36.99038297,127.26957241,2024-10-28,614.0,34010,충청남도 천안시,천안BIS
CAB231000619,안성시청(한마음세차장),37.0045718,127.2782407,2024-10-28,619.0,34010,충청남도 천안시,천안BIS
CAB231001232,인지사거리,37.00435678,127.26924193,2024-10-28,1232.0,34010,충청남도 천안시,천안BIS
CAB231001233,가온고교,36.99091378,127.26928426,2024-10-28,1233.0,34010,충청남도 천안시,천안BIS
CAB231001236,구수리,36.9741519,127.2558025,2024-10-28,1236.0,34010,충청남도 천안시,천안BIS
CAB231001242,하송산,36.9429556,127.2372538,2024-10-28,1242.0,34010,충청남도 천안시,천안BIS
CAB231001243,양변리입구,36.9526873,127.2424769,2024-10-28,1243.0,34010,충청남도 천안시,천안BIS
CAB285001031,주공8단지아파트,36.83511835,127.14545805,2024-10-28,1031.0,34010,충청남도 천안시,천안BIS
CAB285001032,두정우남아파트,36.83818848,127.14574634,2024-10-28,1032.0,34010,충청남도 천안시,천안BIS
CAB285001033,두정우남아파트,36.83809797,127.14554074,2024-10-28,1033.0,34010,충청남도 천안시,천안BIS
CAB285001034,두정역,36.83304298,127.14733408,2024-10-28,1034.0,34010,충청남도 천안시,천안BIS
CAB285001035,두정역,36.83266484,127.14790527,2024-10-28,1035.0,34010,충청남도 천안시,천안BIS
CAB285001036,충무로사거리,36.79862631,127.16063078,2024-10-28,1036.0,34010,충청남도 천안시,천안BIS
CAB285001037,천성중학교,36.8129387,127.17313886,2024-10-28,1037.0,34010,충청남도 천안시,천안BIS
CAB285001038,향교앞,36.81214341,127.17156404,2024-10-28,1038.0,34010,충청남도 천안시,천안BIS
CAB285001039,분텃골,36.81502464,127.17880408,2024-10-28,1039.0,34010,충청남도 천안시,천안BIS
CAB285001040,양담말,36.81552132,127.18191073,2024-10-28,1040.0,34010,충청남도 천안시,천안BIS
CAB285001041,양담말,36.81533939,127.18183392,2024-10-28,1041.0,34010,충청남도 천안시,천안BIS
CAB285001042,응담말,36.816795,127.1840503,2024-10-28,1042.0,34010,충청남도 천안시,천안BIS
CAB285001043,신안25통,36.83089653,127.18589606,2024-10-28,1043.0,34010,충청남도 천안시,천안BIS
CAB285001044,신안25통,36.83086304,127.18551229,2024-10-28,1044.0,34010,충청남도 천안시,천안BIS
CAB285001045,각원사,36.8330729,127.1892217,2024-10-28,1045.0,34010,충청남도 천안시,천안BIS
CAB285001046,호서대(천안),36.83039064,127.17972823,2024-10-28,1046.0,34010,충청남도 천안시,천안BIS
CAB285001047,호서대(천안),36.83058632,127.17974408,2024-10-28,1047.0,34010,충청남도 천안시,천안BIS
CAB285001048,안서동보아파트,36.83106297,127.17742742,2024-10-28,1048.0,34010,충청남도 천안시,천안BIS
CAB285001049,금호어울림아파트,36.83864131,127.17671574,2024-10-28,1049.0,34010,충청남도 천안시,천안BIS
CAB285001050,금호어울림아파트,36.83877783,127.17770268,2024-10-28,1050.0,34010,충청남도 천안시,천안BIS
CAB285001051,백석대학교,36.83989799,127.17937908,2024-10-28,1051.0,34010,충청남도 천안시,천안BIS
CAB285001052,상명대학교,36.83428295,127.17395407,2024-10-28,1052.0,34010,충청남도 천안시,천안BIS
CAB285001053,단국대 삼거리,36.8305713,127.1640326,2024-10-28,1053.0,34010,충청남도 천안시,천안BIS
CAB285001055,단국대 삼거리,36.8307433,127.16234078,2024-10-28,1055.0,34010,충청남도 천안시,천안BIS
CAB285001056,단국대 삼거리,36.83082139,127.16223805,2024-10-28,1056.0,34010,충청남도 천안시,천안BIS
CAB285001057,북일고북일여고,36.8285241,127.158964,2024-10-28,1057.0,34010,충청남도 천안시,천안BIS
CAB285001058,북일고북일여고,36.8279168,127.1578173,2024-10-28,1058.0,34010,충청남도 천안시,천안BIS
CAB285001059,포레나신부 힐스테이트,36.8263588,127.15561142,2024-10-28,1059.0,34010,충청남도 천안시,천안BIS
CAB285001060,힐스테이트 포레나신부,36.82645288,127.15541652,2024-10-28,1060.0,34010,충청남도 천안시,천안BIS
CAB285001061,도솔광장,36.82281464,127.16334408,2024-10-28,1061.0,34010,충청남도 천안시,천안BIS
CAB285001062,도솔광장,36.8224033,127.162808,2024-10-28,1062.0,34010,충청남도 천안시,천안BIS
CAB285001063,안서동(문암),36.8444928,127.186893,2024-10-28,1063.0,34010,충청남도 천안시,천안BIS
CAB285001067,송덕리,36.923318,127.11953,2024-10-28,1067.0,34010,충청남도 천안시,천안BIS
CAB285001068,기린빌라,36.9265446,127.1177136,2024-10-28,1068.0,34010,충청남도 천안시,천안BIS
CAB285001069,우신1리(경로당),36.9295042,127.117188,2024-10-28,1069.0,34010,충청남도 천안시,천안BIS
CAB285001070,우신1리,36.9366157,127.1168885,2024-10-28,1070.0,34010,충청남도 천안시,천안BIS
CAB285001071,어룡리,36.940852,127.116644,2024-10-28,1071.0,34010,충청남도 천안시,천안BIS
CAB285001074,동성중학교,36.90657911,127.12835509,2024-10-28,1074.0,34010,충청남도 천안시,천안BIS
CAB285001075,삼풍아파트,36.91229961,127.13058408,2024-10-28,1075.0,34010,충청남도 천안시,천안BIS
CAB285001076,매주4리(삼천리앞),36.91115133,127.12533074,2024-10-28,1076.0,34010,충청남도 천안시,천안BIS
CAB285001077,율금리,36.8962232,127.1030575,2024-10-28,1077.0,34010,충청남도 천안시,천안BIS
CAB285001078,석곡리,36.8922738,127.096086,2024-10-28,1078.0,34010,충청남도 천안시,천안BIS
CAB285001081,마정교회,36.8794695,127.09934128,2024-10-28,1081.0,34010,충청남도 천안시,천안BIS
CAB285001083,스마일시티,36.8410515,127.1020475,2024-10-28,1083.0,34010,충청남도 천안시,천안BIS
CAB285001086,월랑2리(장수),36.8444289,127.078382,2024-10-28,1086.0,34010,충청남도 천안시,천안BIS
CAB285001088,한라아파트앞,36.821013,127.0859557,2024-10-28,1088.0,34010,충청남도 천안시,천안BIS
CAB285001100,동양철관,36.75898127,127.12779908,2024-10-28,1100.0,34010,충청남도 천안시,천안BIS
CAB285001101,남관리,36.75488493,127.12758054,2024-10-28,1101.0,34010,충청남도 천안시,천안BIS
CAB285001102,두남리,36.7456382,127.1348901,2024-10-28,1102.0,34010,충청남도 천안시,천안BIS
CAB285001103,두남리,36.7414496,127.1389423,2024-10-28,1103.0,34010,충청남도 천안시,천안BIS
CAB285001104,용정리,36.74508795,127.12621741,2024-10-28,1104.0,34010,충청남도 천안시,천안BIS
CAB285001106,용정1리,36.7454668,127.0998128,2024-10-28,1106.0,34010,충청남도 천안시,천안BIS
CAB285001107,원당,36.7371107,127.0894174,2024-10-28,1107.0,34010,충청남도 천안시,천안BIS
CAB285001108,우신주택,36.7243234,127.1192917,2024-10-28,1108.0,34010,충청남도 천안시,천안BIS
CAB285001109,매당4리(자무실),36.70665297,127.11098408,2024-10-28,1109.0,34010,충청남도 천안시,천안BIS
CAB285001110,광덕면행정복지센터,36.70149081,127.11185804,2024-10-28,1110.0,34010,충청남도 천안시,천안BIS
CAB285001111,보산원2리(외보),36.6870686,127.0782978,2024-10-28,1111.0,34010,충청남도 천안시,천안BIS
CAB285001113,광덕사(종점),36.67312,127.042696,2024-10-28,1113.0,34010,충청남도 천안시,천안BIS
CAB285001114,광덕산휴게소,36.6731122,127.0507878,2024-10-28,1114.0,34010,충청남도 천안시,천안BIS
CAB285001115,광덕3리(은골),36.67827956,127.06182698,2024-10-28,1115.0,34010,충청남도 천안시,천안BIS
CAB285001116,광덕리,36.67983463,127.06597741,2024-10-28,1116.0,34010,충청남도 천안시,천안BIS
CAB285001117,보산원3리,36.6977898,127.0719624,2024-10-28,1117.0,34010,충청남도 천안시,천안BIS
CAB285001118,지장리,36.658808,127.077903,2024-10-28,1118.0,34010,충청남도 천안시,천안BIS
CAB285001120,행정리,36.6884513,127.1571478,2024-10-28,1120.0,34010,충청남도 천안시,천안BIS
CAB285001121,대평1리(대평원),36.6847733,127.1571809,2024-10-28,1121.0,34010,충청남도 천안시,천안BIS
CAB285001122,대평2리,36.6741606,127.1456338,2024-10-28,1122.0,34010,충청남도 천안시,천안BIS
CAB285001123,대평2리,36.6705171,127.1391318,2024-10-28,1123.0,34010,충청남도 천안시,천안BIS
CAB285001124,원덕1리(원터),36.6604633,127.1398949,2024-10-28,1124.0,34010,충청남도 천안시,천안BIS
CAB285001125,원덕2리,36.6569049,127.1347926,2024-10-28,1125.0,34010,충청남도 천안시,천안BIS
CAB231001650,강덕리,36.9470033,127.2393907,2024-10-28,1650.0,34010,충청남도 천안시,천안BIS
CAB231001904,독정리,36.926247,127.225322,2024-10-28,1904.0,34010,충청남도 천안시,천안BIS
CAB231002096,계동.안성제2산업단지입구,36.98082633,127.26388074,2024-10-28,2096.0,34010,충청남도 천안시,천안BIS
CAB231002097,계동.안성제2산업단지입구,36.98116132,127.26434908,2024-10-28,2097.0,34010,충청남도 천안시,천안BIS
CAB231033140,도기동,36.99987638,127.26798622,2024-10-28,1996.0,34010,충청남도 천안시,천안BIS
CAB231033143,도기동,36.99996631,127.26816908,2024-10-28,1995.0,34010,충청남도 천안시,천안BIS
CAB231033149,계동입구,36.98650794,127.26822907,2024-10-28,33149.0,34010,충청남도 천안시,천안BIS
CAB231033151,계동입구,36.98729294,127.26877908,2024-10-28,33151.0,34010,충청남도 천안시,천안BIS
CAB231033161,인지사거리,37.0044113,127.26989739,2024-10-28,621.0,34010,충청남도 천안시,천안BIS
CAB231033173,서광아파트,37.00410296,127.27326574,2024-10-28,616.0,34010,충청남도 천안시,천안BIS
CAB231033174,서광아파트,37.00397463,127.27349574,2024-10-28,615.0,34010,충청남도 천안시,천안BIS
CAB231033180,안성맞춤공감센터,37.00407463,127.27470576,2024-10-28,617.0,34010,충청남도 천안시,천안BIS
CAB231033182,시민회관,37.0038963,127.27569907,2024-10-28,618.0,34010,충청남도 천안시,천안BIS
CAB231034175,구송산,36.93531859,127.23400176,2024-10-28,1239.0,34010,충청남도 천안시,천안BIS
CAB231034185,강덕리,36.94678963,127.23945575,2024-10-28,605.0,34010,충청남도 천안시,천안BIS
CAB231034196,양변리입구,36.95276465,127.24274575,2024-10-28,606.0,34010,충청남도 천안시,천안BIS
CAB231034201,금화마을,36.96044796,127.24517407,2024-10-28,607.0,34010,충청남도 천안시,천안BIS
CAB231034202,금화아파트,36.96111881,127.24580004,2024-10-28,608.0,34010,충청남도 천안시,천안BIS
