학교ID,학교명,학교급구분,소재지지번주소,위도,경도
B000010024,천안신방중학교,중학교,충청남도 천안시 동남구 신방동 62-45,36.79015871,127.1267493
B000005527,천안신부초등학교,초등학교,충청남도 천안시 동남구 신부동 670,36.82273006,127.1601639
B000005529,천안신안초등학교,초등학교,충청남도 천안시 동남구 신부동 58-11,36.81418927,127.162674
B000005526,천안신용초등학교,초등학교,충청남도 천안시 동남구 신방동 40,36.7907329,127.1317187
B000005520,천안신촌초등학교,초등학교,충청남도 천안시 동남구 신방동 768-1,36.7874511,127.1236054
B000012896,천안쌍용고등학교,고등학교,충청남도 천안시 서북구 쌍용동 502-8,36.78875649,127.114008
B000010025,천안쌍용중학교,중학교,충청남도 천안시 서북구 쌍용동 1927,36.80368922,127.1202337
B000005531,천안쌍용초등학교,초등학교,충청남도 천안시 서북구 쌍용동 1300,36.80108802,127.1224588
B000005543,천안쌍정초등학교,초등학교,충청남도 천안시 서북구 쌍용동 2076,36.78729264,127.1149315
B000025797,천안아름초등학교,초등학교,충청남도 천안시 서북구 불당동 1574,36.81319878,127.1023766
B000013558,천안업성고등학교,고등학교,충청남도 천안시 서북구 업성동 195-5,36.86166638,127.1379306
B000005537,천안업성초등학교,초등학교,충청남도 천안시 서북구 업성동 99-1,36.86130968,127.1413849
B000012893,천안여자고등학교,고등학교,충청남도 천안시 동남구 삼룡동 102-1,36.77872802,127.1692327
B000011597,천안여자상업고등학교,고등학교,충청남도 천안시 동남구 봉명동 216-1,36.80367767,127.1365589
B000010018,천안여자중학교,중학교,충청남도 천안시 동남구 원성동 559-1,36.80254964,127.1581917
B000012898,천안오성고등학교,고등학교,충청남도 천안시 서북구 성성동 1-4,36.8415273,127.142135
B000010033,천안오성중학교,중학교,충청남도 천안시 서북구 두정동 2009,36.83617123,127.1291473
B000005540,천안오성초등학교,초등학교,충청남도 천안시 서북구 두정동 675,36.83140647,127.1296192
B000005533,천안와촌초등학교,초등학교,충청남도 천안시 서북구 와촌동 174,36.80596681,127.1449912
B000010021,천안용곡중학교,중학교,충청남도 천안시 동남구 용곡동 476-9,36.78921169,127.1332935
B000005518,천안용곡초등학교,초등학교,충청남도 천안시 동남구 용곡동 497-15,36.78680007,127.1316816
B000005517,천안용소초등학교,초등학교,충청남도 천안시 동남구 용곡동 476-17,36.78945648,127.1358799
B000005532,천안용암초등학교,초등학교,충청남도 천안시 서북구 쌍용동 1922,36.8037223,127.1177619
B000012900,천안월봉고등학교,고등학교,충청남도 천안시 서북구 불당동 825,36.80456188,127.1119636
B000010028,천안월봉중학교,중학교,충청남도 천안시 서북구 불당동 1425,36.80126818,127.1109564
B000005539,천안월봉초등학교,초등학교,충청남도 천안시 서북구 쌍용동 1549,36.79651896,127.115306
B000005512,천안일봉초등학교,초등학교,충청남도 천안시 동남구 다가동 380-8,36.79970962,127.1395332
B000012895,천안제일고등학교,고등학교,충청남도 천안시 동남구 원성동 260,36.80863404,127.1532984
B000012892,천안중앙고등학교,고등학교,충청남도 천안시 동남구 원성동 460-1,36.81106206,127.1598874
B000010017,천안중학교,중학교,충청남도 천안시 동남구 원성동 191,36.81133826,127.156421
B000025793,천안차암초등학교,초등학교,충청남도 천안시 서북구 차암동 549,36.84458893,127.105979
B000005522,천안청당초등학교,초등학교,충청남도 천안시 동남구 청당동 300,36.78004482,127.1515782
B000005519,천안청룡초등학교,초등학교,충청남도 천안시 동남구 용곡동 584,36.78135876,127.1394952
B000012894,천안청수고등학교,고등학교,충청남도 천안시 동남구 청수동 423,36.79141382,127.1591804
B000005516,천안청수초등학교,초등학교,충청남도 천안시 동남구 청수동 235,36.78894296,127.1509943
B000005513,천안초등학교,초등학교,충청남도 천안시 동남구 성황동 36,36.81410619,127.1525442
B000025783,천안한들초등학교,초등학교,충청남도 천안시 서북구 백석동 347-1,36.82532854,127.117794
B000025796,천안호수초등학교,초등학교,충청남도 천안시 서북구 불당동 1280-1,36.79610888,127.0981746
B000026804,천안희망초등학교,초등학교,충청남도 천안시 동남구 신부동 298 -6,36.82605057,127.1540762
B000011880,충남예술고등학교,고등학교,충청남도 천안시 서북구 성거읍 천흥리 498-3,36.86844127,127.204377
B000005574,풍세초등학교,초등학교,충청남도 천안시 동남구 풍세면 풍서리 452,36.72629021,127.1183519
B000005565,행정초등학교,초등학교,충청남도 천안시 동남구 광덕면 행정리 216-1,36.68689565,127.1566132
B000023028,환서중학교,중학교,충청남도 천안시 서북구 백석동 31,36.82864316,127.1241785
B000005545,환서초등학교,초등학교,충청남도 천안시 서북구 백석동 105,36.82890323,127.1225335
