기준연도,학교종류,학교명,모집인원,입학자
2023.0,사이버대학(대학),글로벌사이버대학교,1785,676
2023.0,대학교,나사렛대학교,1399,1292
2023.0,대학교,남서울대학교,2525,2366
2023.0,대학교,단국대학교 _제2캠퍼스,2538,2515
2023.0,대학교,상명대학교 _제2캠퍼스,1449,1442
2023.0,대학교,한국기술교육대학교,996,983
2023.0,특수대학원,고신대학교 신학대학원,157,122
2023.0,일반대학원,국립공주대학교 대학원,981,673
2023.0,일반대학원,한국기술교육대학교 대학원,156,109
2023.0,전문대학,백석문화대학교,2126,1737
2023.0,전문대학,연암대학교,662,592
