기준연도,학교종류,학교명,모집인원,입학자
2024.0,대학교,남서울대학교,2495,2459
2024.0,대학교,나사렛대학교,1349,1297
2024.0,대학교,한국기술교육대학교,996,980
2024.0,사이버대학(대학),글로벌사이버대학교,1786,977
2024.0,대학교,단국대학교 _제2캠퍼스,2497,2465
2024.0,대학교,상명대학교 _제2캠퍼스,1390,1384
2024.0,특수대학원,고신대학교 신학대학원,174,134
2024.0,일반대학원,국립공주대학교 대학원,918,642
2024.0,일반대학원,한국기술교육대학교 대학원,203,133
2024.0,전문대학,백석문화대학교,1829,1397
2024.0,전문대학,연암대학교,662,593
