기준연도,학교종류,학교명,모집인원,입학자,emd_tokens_fixed
2024,대학교,남서울대학교,2495,2459,목천읍
2024,대학교,나사렛대학교,1349,1297,쌍용2동
2024,대학교,한국기술교육대학교,996,980,성환읍
2024,사이버대학(대학),글로벌사이버대학교,1786,977,문성동
2024,대학교,단국대학교 _제2캠퍼스,2497,2465,문성동
2024,대학교,상명대학교 _제2캠퍼스,1390,1384,병천면
2024,특수대학원,고신대학교 신학대학원,174,134,문성동
2024,일반대학원,국립공주대학교 대학원,918,642,부성1동
2024,일반대학원,한국기술교육대학교 대학원,203,133,부성1동
2024,전문대학,백석문화대학교,1829,1397,문성동
2024,전문대학,연암대학교,662,593,성환읍
