기준연도,학교종류,학교명,모집인원,입학자,emd_tokens_fixed
2022,사이버대학(대학),글로벌사이버대학교,1549,735,목천읍
2022,대학교,나사렛대학교,1383,1298,쌍용2동
2022,대학교,남서울대학교,2338,2335,성환읍
2022,대학교,단국대학교 _제2캠퍼스,2541,2521,문성동
2022,대학교,상명대학교 _제2캠퍼스,1449,1445,문성동
2022,대학교,한국기술교육대학교,997,983,병천면
2022,특수대학원,고신대학교 신학대학원,165,121,문성동
2022,일반대학원,국립공주대학교 대학원,985,652,부성1동
2022,일반대학원,한국기술교육대학교 대학원,176,133,부성1동
2022,전문대학,백석문화대학교,2908,1698,문성동
2022,전문대학,연암대학교,637,586,성환읍
