기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2021.0,특수대학원,사립,경남,기존,가야대학교 보건대학원(김해) ,20.0,7,0,7,0,0,7,0,7,0,0,35.0
2021.0,일반대학원,사립,경남,기존,가야대학교 일반대학원(김해) ,8.0,17,2,1,6,8,17,2,1,6,8,37.5
2021.0,특수대학원,사립,경남,기존,가야대학교 항만물류대학원 ,20.0,0,0,0,0,0,0,0,0,0,0,0.0
2021.0,특수대학원,사립,경남,기존,가야대학교 행정대학원(김해) ,30.0,25,11,14,0,0,14,7,7,0,0,46.7
2021.0,특수대학원,사립,인천,기존,가천대학교 간호대학원 ,19.0,84,2,82,0,0,19,1,18,0,0,100.0
2021.0,특수대학원,사립,경기,기존,가천대학교 게임대학원 ,0.0,5,4,1,0,0,4,3,1,0,0,0.0
2021.0,특수대학원,사립,경기,기존,가천대학교 경영대학원 ,63.0,147,63,24,30,30,133,56,20,29,28,120.6
2021.0,특수대학원,사립,경기,기존,가천대학교 교육대학원 ,116.0,257,46,211,0,0,108,24,84,0,0,93.1
2021.0,특수대학원,사립,인천,기존,가천대학교 보건대학원 ,30.0,40,5,35,0,0,31,3,28,0,0,103.3
2021.0,특수대학원,사립,경기,기존,가천대학교 사회정책대학원 ,55.0,41,19,20,2,0,30,14,14,2,0,50.9
2021.0,특수대학원,사립,경기,기존,가천대학교 산업환경대학원 ,20.0,22,20,2,0,0,21,20,1,0,0,105.0
2021.0,일반대학원,사립,경기,기존,가천대학교 일반대학원 ,361.0,1012,243,228,215,326,746,200,166,134,246,101.4
2021.0,특수대학원,사립,경기,기존,가천대학교 특수치료대학원 ,115.0,231,38,193,0,0,117,20,97,0,0,101.7
2021.0,특수대학원,사립,강원,기존,가톨릭관동대학교 경영행정・창업대학원 ,50.0,40,17,9,6,8,34,17,7,6,4,48.0
2021.0,특수대학원,사립,강원,폐교,가톨릭관동대학교 경영행정대학원 ,0.0,9,1,3,1,4,6,1,2,0,3,0.0
2021.0,특수대학원,사립,강원,기존,가톨릭관동대학교 교육대학원 ,84.0,73,22,49,0,2,54,16,38,0,0,64.3
2021.0,특수대학원,사립,강원,기존,가톨릭관동대학교 사회복지대학원 ,20.0,16,8,8,0,0,12,4,8,0,0,60.0
2021.0,일반대학원,사립,강원,기존,가톨릭관동대학교 일반대학원 ,119.0,105,62,43,0,0,92,56,36,0,0,77.3
2021.0,특수대학원,사립,충북,폐교,가톨릭꽃동네대학교 사회복지상담대학원 ,40.0,43,10,33,0,0,35,8,27,0,0,87.5
2021.0,특수대학원,사립,경기,기존,가톨릭대학교 교육대학원 ,102.0,218,15,203,0,0,104,3,101,0,0,102.0
2021.0,특수대학원,사립,경기,기존,가톨릭대학교 교회법대학원 ,12.0,4,2,2,0,0,2,2,0,0,0,16.7
2021.0,특수대학원,사립,서울,기존,가톨릭대학교 교회음악대학원 _제3캠퍼스,15.0,10,3,7,0,0,6,2,4,0,0,40.0
2021.0,일반대학원,사립,경기,기존,가톨릭대학교 대학원 ,243.0,513,148,290,29,46,247,72,117,23,35,77.8
2021.0,특수대학원,사립,경기,기존,가톨릭대학교 문화영성대학원 ,25.0,9,2,7,0,0,9,2,7,0,0,36.0
2021.0,특수대학원,사립,서울,폐교,가톨릭대학교 보건대학원 _제2캠퍼스,65.0,125,28,95,0,2,68,20,46,0,2,101.5
2021.0,특수대학원,사립,경기,기존,가톨릭대학교 사회복지대학원 ,80.0,98,31,65,0,2,63,22,40,0,1,77.5
2021.0,특수대학원,사립,경기,기존,가톨릭대학교 상담심리대학원 ,90.0,447,87,350,1,9,99,15,79,0,5,104.4
2021.0,특수대학원,사립,서울,기존,가톨릭대학교 생명대학원 _제2캠퍼스,25.0,30,5,25,0,0,24,4,20,0,0,96.0
2021.0,특수대학원,사립,서울,폐교,가톨릭대학교 의료경영대학원 _제2캠퍼스,40.0,47,18,29,0,0,38,15,23,0,0,95.0
2021.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제2캠퍼스,273.0,323,97,219,5,2,254,80,169,3,2,91.2
2021.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제3캠퍼스,55.0,46,43,3,0,0,45,42,3,0,0,81.8
2021.0,특수대학원,사립,서울,기존,가톨릭대학교 임상간호대학원 _제2캠퍼스,45.0,282,12,270,0,0,45,2,43,0,0,100.0
2021.0,특수대학원,사립,서울,기존,가톨릭대학교 임상치과학대학원 _제2캠퍼스,20.0,18,8,10,0,0,10,4,6,0,0,50.0
2021.0,특수대학원,사립,경기,기존,가톨릭대학교 행정대학원 ,43.0,24,6,17,1,0,17,3,13,1,0,37.2
2021.0,일반대학원,사립,서울,기존,감리교신학대학교 대학원 ,62.0,95,77,18,0,0,64,52,12,0,0,103.2
2021.0,특수대학원,사립,서울,폐교,감리교신학대학교 목회신학대학원 ,50.0,46,25,21,0,0,40,19,21,0,0,80.0
2021.0,특수대학원,사립,서울,폐교,감리교신학대학교 신학대학원 ,146.0,124,75,49,0,0,109,66,43,0,0,74.7
2021.0,특수대학원,사립,경기,기존,강남대학교 교육대학원 ,80.0,116,17,99,0,0,73,10,63,0,0,91.3
2021.0,특수대학원,사립,경기,기존,강남대학교 국제대학원 ,20.0,4,2,2,0,0,3,2,1,0,0,15.0
2021.0,일반대학원,사립,경기,기존,강남대학교 대학원 ,90.0,113,36,77,0,0,94,29,65,0,0,104.4
2021.0,특수대학원,사립,경기,기존,강남대학교 융복합대학원 ,92.0,42,21,21,0,0,27,14,13,0,0,29.3
2021.0,특수대학원,사립,서울,기존,강서대학교 교육대학원 ,15.0,35,8,19,0,8,28,6,14,0,8,133.3
2021.0,특수대학원,사립,서울,기존,강서대학교 사회복지대학원 ,15.0,26,8,9,1,8,17,2,6,1,8,53.3
2021.0,특수대학원,사립,서울,기존,강서대학교 신학대학원 ,15.0,8,8,0,0,0,5,5,0,0,0,33.3
2021.0,일반대학원,사립,서울,기존,강서대학교 일반대학원 ,27.0,144,11,6,93,34,87,7,4,50,26,40.7
2021.0,특수대학원,국립,강원,기존,강원대학교 경영대학원 ,57.0,42,25,17,0,0,35,20,15,0,0,61.4
2021.0,특수대학원,국립,강원,기존,강원대학교 교육대학원 ,180.0,238,80,158,0,0,80,40,40,0,0,44.4
2021.0,특수대학원,국립,강원,기존,강원대학교 녹색생명산업정책대학원 ,30.0,22,16,6,0,0,20,15,5,0,0,66.7
2021.0,전문대학원,국립,강원,기존,강원대학교 방재전문대학원 _제2캠퍼스,25.0,24,24,0,0,0,21,21,0,0,0,84.0
2021.0,전문대학원,국립,강원,기존,강원대학교 법학전문대학원 ,40.0,198,128,70,0,0,42,25,17,0,0,105.0
2021.0,특수대학원,국립,강원,기존,강원대학교 산업과학대학원 _제2캠퍼스,46.0,32,20,12,0,0,28,17,11,0,0,60.9
