기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2020.0,특수대학원,사립,경남,기존,가야대학교 보건대학원(김해) ,20.0,20,1,19,0,0,15,0,15,0,0,75.0
2020.0,일반대학원,사립,경남,기존,가야대학교 일반대학원(김해) ,8.0,29,2,6,8,13,27,2,6,7,12,100.0
2020.0,특수대학원,사립,경남,기존,가야대학교 항만물류대학원 ,20.0,0,0,0,0,0,0,0,0,0,0,0.0
2020.0,특수대학원,사립,경남,기존,가야대학교 행정대학원(김해) ,30.0,19,9,10,0,0,14,7,7,0,0,46.7
2020.0,특수대학원,사립,인천,기존,가천대학교 간호대학원 ,27.0,51,0,51,0,0,19,0,19,0,0,70.4
2020.0,특수대학원,사립,경기,기존,가천대학교 게임대학원 ,20.0,8,6,2,0,0,8,6,2,0,0,40.0
2020.0,특수대학원,사립,경기,기존,가천대학교 경영대학원 ,50.0,119,37,23,33,26,101,29,17,32,23,92.0
2020.0,특수대학원,사립,경기,기존,가천대학교 교육대학원 ,111.0,279,45,234,0,0,100,13,87,0,0,90.1
2020.0,특수대학원,사립,인천,기존,가천대학교 보건대학원 ,30.0,42,14,28,0,0,35,10,25,0,0,116.7
2020.0,특수대학원,사립,경기,기존,가천대학교 사회정책대학원 ,45.0,57,14,43,0,0,46,10,36,0,0,102.2
2020.0,특수대학원,사립,경기,기존,가천대학교 산업환경대학원 ,20.0,29,23,6,0,0,26,22,4,0,0,130.0
2020.0,일반대학원,사립,경기,기존,가천대학교 일반대학원 ,361.0,863,191,183,198,291,638,165,147,128,198,86.4
2020.0,특수대학원,사립,경기,기존,가천대학교 특수치료대학원 ,115.0,201,21,180,0,0,103,11,92,0,0,89.6
2020.0,특수대학원,사립,강원,폐교,가톨릭관동대학교 경영행정대학원 ,50.0,38,8,14,6,10,28,8,11,5,4,38.0
2020.0,특수대학원,사립,강원,기존,가톨릭관동대학교 교육대학원 ,84.0,60,20,40,0,0,53,18,35,0,0,63.1
2020.0,특수대학원,사립,강원,기존,가톨릭관동대학교 사회복지대학원 ,20.0,24,11,13,0,0,22,11,11,0,0,110.0
2020.0,일반대학원,사립,강원,기존,가톨릭관동대학교 일반대학원 ,119.0,93,38,47,5,3,74,30,36,5,3,55.5
2020.0,특수대학원,사립,충북,기존,가톨릭꽃동네대학교 사회복지상담대학원 ,40.0,40,12,28,0,0,30,9,21,0,0,75.0
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 경영대학원 ,28.0,12,7,5,0,0,1,0,1,0,0,3.6
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 교육대학원 ,102.0,151,16,135,0,0,108,11,97,0,0,105.9
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 교회법대학원 ,12.0,6,4,2,0,0,6,4,2,0,0,50.0
2020.0,특수대학원,사립,서울,기존,가톨릭대학교 교회음악대학원 _제3캠퍼스,15.0,12,2,10,0,0,9,1,8,0,0,60.0
2020.0,일반대학원,사립,경기,기존,가톨릭대학교 대학원 ,243.0,432,130,289,6,7,197,76,111,4,6,77.0
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 문화영성대학원 ,25.0,12,1,11,0,0,9,0,9,0,0,36.0
2020.0,특수대학원,사립,서울,폐교,가톨릭대학교 보건대학원 _제2캠퍼스,65.0,126,22,103,0,1,67,12,54,0,1,101.5
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 사회복지대학원 ,75.0,110,29,80,0,1,71,19,51,0,1,93.3
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 상담심리대학원 ,80.0,347,61,279,0,7,85,20,60,0,5,100.0
2020.0,특수대학원,사립,서울,기존,가톨릭대학교 생명대학원 _제2캠퍼스,25.0,31,6,25,0,0,26,6,20,0,0,104.0
2020.0,특수대학원,사립,서울,폐교,가톨릭대학교 의료경영대학원 _제2캠퍼스,40.0,46,19,27,0,0,38,16,22,0,0,95.0
2020.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제2캠퍼스,273.0,270,95,169,2,4,202,83,113,2,4,71.8
2020.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제3캠퍼스,55.0,8,6,2,0,0,8,6,2,0,0,14.5
2020.0,특수대학원,사립,서울,기존,가톨릭대학교 임상간호대학원 _제2캠퍼스,45.0,230,4,226,0,0,45,0,45,0,0,100.0
2020.0,특수대학원,사립,서울,기존,가톨릭대학교 임상치과학대학원 _제2캠퍼스,20.0,26,10,16,0,0,15,6,9,0,0,75.0
2020.0,특수대학원,사립,경기,기존,가톨릭대학교 행정대학원 ,30.0,44,17,27,0,0,33,10,23,0,0,110.0
2020.0,일반대학원,사립,서울,기존,감리교신학대학교 대학원 ,62.0,74,58,13,2,1,61,50,9,2,0,95.2
2020.0,특수대학원,사립,서울,폐교,감리교신학대학교 목회신학대학원 ,50.0,54,35,19,0,0,38,23,15,0,0,76.0
2020.0,특수대학원,사립,서울,폐교,감리교신학대학교 신학대학원 ,146.0,171,105,64,2,0,151,99,50,2,0,102.1
2020.0,특수대학원,사립,경기,기존,강남대학교 교육대학원 ,80.0,120,14,105,0,1,85,9,75,0,1,105.0
2020.0,특수대학원,사립,경기,기존,강남대학교 국제대학원 ,20.0,1,0,1,0,0,1,0,1,0,0,5.0
2020.0,일반대학원,사립,경기,기존,강남대학교 대학원 ,90.0,100,33,36,13,18,72,22,26,9,15,53.3
2020.0,특수대학원,사립,경기,기존,강남대학교 융복합대학원 ,92.0,64,21,41,0,2,43,14,29,0,0,46.7
2020.0,특수대학원,사립,서울,기존,강서대학교 교육대학원 ,20.0,17,0,6,0,11,13,0,4,0,9,20.0
2020.0,특수대학원,사립,서울,기존,강서대학교 사회복지대학원 ,20.0,45,1,6,20,18,24,1,4,9,10,25.0
2020.0,특수대학원,사립,서울,기존,강서대학교 신학대학원 ,20.0,16,10,6,0,0,11,5,6,0,0,55.0
2020.0,일반대학원,사립,서울,기존,강서대학교 일반대학원 ,12.0,42,5,8,12,17,33,2,4,11,16,50.0
2020.0,특수대학원,국립,강원,기존,강원대학교 경영대학원 ,57.0,40,19,21,0,0,35,18,17,0,0,61.4
2020.0,특수대학원,국립,강원,기존,강원대학교 교육대학원 ,180.0,160,44,116,0,0,66,23,43,0,0,36.7
2020.0,특수대학원,국립,강원,기존,강원대학교 녹색생명산업정책대학원 ,30.0,22,7,15,0,0,17,3,14,0,0,56.7
2020.0,전문대학원,국립,강원,기존,강원대학교 방재전문대학원 _제2캠퍼스,25.0,22,20,2,0,0,20,19,1,0,0,80.0
2020.0,전문대학원,국립,강원,기존,강원대학교 법학전문대학원 ,40.0,205,124,81,0,0,41,28,13,0,0,102.5
2020.0,특수대학원,국립,강원,기존,강원대학교 산업과학대학원 _제2캠퍼스,46.0,53,32,21,0,0,45,28,17,0,0,97.8
