기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2023.0,특수대학원,국립,부산,기존,부산대학교 금융대학원 ,25.0,19,12,7,0,0,13,9,4,0,0,52.0
2023.0,특수대학원,국립,부산,기존,부산대학교 기술창업대학원 ,40.0,42,31,11,0,0,33,24,9,0,0,82.5
2023.0,전문대학원,국립,부산,기존,부산대학교 법학전문대학원 ,130.0,482,234,248,0,0,138,61,77,0,0,106.2
2023.0,특수대학원,국립,부산,기존,부산대학교 산업대학원 ,105.0,110,73,37,0,0,86,56,30,0,0,81.9
2023.0,일반대학원,국립,부산,기존,부산대학교 일반대학원 ,2193.0,4252,1438,1818,489,507,2093,897,928,117,151,83.2
2023.0,전문대학원,국립,경남,기존,부산대학교 치의학전문대학원 ,85.0,672,398,274,0,0,82,50,32,0,0,96.5
2023.0,전문대학원,국립,경남,기존,부산대학교 한의학전문대학원 ,59.0,720,391,323,4,2,63,30,28,3,2,98.3
2023.0,특수대학원,국립,부산,기존,부산대학교 행정대학원 ,104.0,113,43,70,0,0,84,31,53,0,0,80.8
2023.0,특수대학원,국립,부산,기존,부산대학교 환경대학원 ,32.0,32,19,13,0,0,22,12,10,0,0,68.8
2023.0,특수대학원,사립,부산,기존,부산디지털대학교 휴먼서비스대학원 ,30.0,95,20,66,6,3,33,6,24,3,0,100.0
2023.0,특수대학원,사립,부산,기존,부산외국어대학교 교육대학원 ,20.0,30,14,8,3,5,16,8,5,0,3,65.0
2023.0,일반대학원,사립,부산,기존,부산외국어대학교 대학원 ,99.0,307,30,30,120,127,180,19,22,32,107,41.4
2023.0,특수대학원,사립,부산,기존,부산외국어대학교 산업・경영대학원 ,94.0,91,37,35,10,9,69,28,26,7,8,57.4
2023.0,특수대학원,사립,부산,기존,부산외국어대학교 통역번역대학원 ,40.0,46,10,24,2,10,33,9,14,2,8,57.5
2023.0,특수대학원,사립,경남,기존,부산장신대학교 강해설교대학원 ,10.0,6,5,1,0,0,6,5,1,0,0,60.0
2023.0,특수대학원,사립,경남,기존,부산장신대학교 상담및심리치료대학원 ,10.0,13,3,10,0,0,11,3,8,0,0,110.0
2023.0,특수대학원,사립,경남,기존,부산장신대학교 신학대학원 ,50.0,57,29,28,0,0,50,24,26,0,0,100.0
2023.0,일반대학원,사립,경남,기존,부산장신대학교 일반대학원 ,21.0,25,18,7,0,0,19,13,6,0,0,90.5
2023.0,특수대학원,사립,경남,폐교,부산장신대학교 장애인교육선교대학원 ,10.0,4,3,1,0,0,4,3,1,0,0,40.0
2023.0,특수대학원,사립,서울,기존,사이버한국외국어대학교 TESOL 대학원 ,48.0,114,21,87,4,2,52,8,40,3,1,100.0
2023.0,특수대학원,사립,서울,기존,삼육대학교 경영대학원 ,10.0,32,6,3,9,14,25,6,3,7,9,90.0
2023.0,일반대학원,사립,서울,기존,삼육대학교 대학원 ,155.0,598,126,173,119,180,414,92,92,68,162,118.7
2023.0,특수대학원,사립,서울,기존,삼육대학교 신학대학원 ,30.0,18,15,3,0,0,16,14,2,0,0,53.3
2023.0,특수대학원,사립,서울,기존,삼육대학교 임상간호대학원 ,17.0,18,1,17,0,0,14,1,13,0,0,82.4
2023.0,특수대학원,사립,서울,기존,상명대학교 경영대학원 ,45.0,36,22,14,0,0,27,16,11,0,0,60.0
2023.0,특수대학원,사립,서울,기존,상명대학교 교육대학원 ,55.0,260,36,224,0,0,36,7,29,0,0,65.5
