기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2022.0,특수대학원,사립,경남,기존,가야대학교 보건대학원(김해) ,15.0,13,2,11,0,0,11,1,10,0,0,73.3
2022.0,일반대학원,사립,경남,기존,가야대학교 일반대학원(김해) ,13.0,15,2,3,5,5,14,1,3,5,5,30.8
2022.0,특수대학원,사립,경남,기존,가야대학교 항만물류대학원 ,20.0,0,0,0,0,0,0,0,0,0,0,0.0
2022.0,특수대학원,사립,경남,기존,가야대학교 행정대학원(김해) ,30.0,35,16,19,0,0,22,8,14,0,0,73.3
2022.0,특수대학원,사립,경기,기존,가천대학교 경영대학원 ,68.0,145,44,30,42,29,131,41,24,37,29,95.6
2022.0,특수대학원,사립,경기,기존,가천대학교 교육대학원 ,111.0,297,45,252,0,0,123,18,105,0,0,110.8
2022.0,특수대학원,사립,인천,기존,가천대학교 보건대학원 ,30.0,30,11,18,1,0,30,11,18,1,0,96.7
2022.0,특수대학원,사립,경기,기존,가천대학교 사회정책대학원 ,40.0,51,27,24,0,0,49,27,22,0,0,122.5
2022.0,특수대학원,사립,경기,기존,가천대학교 산업환경대학원 ,20.0,12,10,2,0,0,11,9,2,0,0,55.0
2022.0,일반대학원,사립,경기,기존,가천대학교 일반대학원 ,395.0,979,237,271,173,298,711,195,179,113,224,94.7
2022.0,특수대학원,사립,경기,기존,가천대학교 특수치료대학원 ,115.0,302,32,270,0,0,119,17,102,0,0,103.5
2022.0,특수대학원,사립,강원,기존,가톨릭관동대학교 경영행정・창업대학원 ,50.0,63,32,24,3,4,55,29,20,2,4,98.0
2022.0,특수대학원,사립,강원,기존,가톨릭관동대학교 교육대학원 ,84.0,102,37,65,0,0,86,33,53,0,0,102.4
2022.0,특수대학원,사립,강원,기존,가톨릭관동대학교 사회복지대학원 ,20.0,36,12,24,0,0,20,5,15,0,0,100.0
2022.0,일반대학원,사립,강원,기존,가톨릭관동대학교 일반대학원 ,119.0,114,64,48,1,1,85,51,32,1,1,69.7
2022.0,특수대학원,사립,충북,폐교,가톨릭꽃동네대학교 사회복지상담대학원 ,40.0,41,17,24,0,0,36,14,22,0,0,90.0
2022.0,특수대학원,사립,경기,기존,가톨릭대학교 교육대학원 ,102.0,262,25,237,0,0,93,7,86,0,0,91.2
2022.0,특수대학원,사립,경기,기존,가톨릭대학교 교회법대학원 ,12.0,11,10,1,0,0,11,10,1,0,0,91.7
2022.0,특수대학원,사립,서울,기존,가톨릭대학교 교회음악대학원 _제3캠퍼스,15.0,6,0,6,0,0,6,0,6,0,0,40.0
2022.0,일반대학원,사립,경기,기존,가톨릭대학교 대학원 ,243.0,761,146,311,100,204,402,68,123,55,156,78.6
2022.0,특수대학원,사립,경기,기존,가톨릭대학교 문화영성대학원 ,25.0,8,2,6,0,0,7,2,5,0,0,28.0
2022.0,특수대학원,사립,서울,폐교,가톨릭대학교 보건대학원 _제2캠퍼스,0.0,45,6,39,0,0,20,3,17,0,0,0.0
2022.0,특수대학원,사립,서울,기존,가톨릭대학교 보건의료경영대학원 _제2캠퍼스,105.0,106,18,87,0,1,64,11,52,0,1,60.0
2022.0,특수대학원,사립,경기,기존,가톨릭대학교 사회복지대학원 ,80.0,100,21,78,0,1,63,15,48,0,0,78.8
2022.0,특수대학원,사립,경기,기존,가톨릭대학교 상담심리대학원 ,90.0,513,120,386,3,4,91,25,64,2,0,98.9
2022.0,특수대학원,사립,서울,기존,가톨릭대학교 생명대학원 _제2캠퍼스,25.0,28,8,20,0,0,27,8,19,0,0,108.0
2022.0,특수대학원,사립,서울,폐교,가톨릭대학교 의료경영대학원 _제2캠퍼스,0.0,27,11,16,0,0,24,10,14,0,0,0.0
2022.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제2캠퍼스,273.0,304,99,195,7,3,244,90,147,5,2,86.8
2022.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제3캠퍼스,55.0,40,39,1,0,0,35,35,0,0,0,63.6
2022.0,특수대학원,사립,서울,기존,가톨릭대학교 임상간호대학원 _제2캠퍼스,45.0,297,10,287,0,0,45,0,45,0,0,100.0
2022.0,특수대학원,사립,서울,기존,가톨릭대학교 임상치과학대학원 _제2캠퍼스,20.0,20,14,6,0,0,15,10,5,0,0,75.0
2022.0,특수대학원,사립,경기,기존,가톨릭대학교 행정대학원 ,43.0,44,8,35,1,0,37,7,29,1,0,83.7
2022.0,일반대학원,사립,서울,기존,감리교신학대학교 대학원 ,62.0,76,56,20,0,0,62,45,17,0,0,100.0
2022.0,특수대학원,사립,서울,폐교,감리교신학대학교 목회신학대학원 ,50.0,55,27,27,1,0,45,23,21,1,0,88.0
2022.0,특수대학원,사립,서울,폐교,감리교신학대학교 신학대학원 ,146.0,128,87,41,0,0,109,75,34,0,0,74.7
2022.0,특수대학원,사립,경기,기존,강남대학교 교육대학원 ,80.0,151,13,138,0,0,96,10,86,0,0,120.0
2022.0,특수대학원,사립,경기,기존,강남대학교 국제대학원 ,20.0,6,2,3,1,0,3,0,2,1,0,10.0
2022.0,일반대학원,사립,경기,기존,강남대학교 대학원 ,90.0,75,33,41,0,1,54,22,31,0,1,58.9
2022.0,특수대학원,사립,경기,기존,강남대학교 융복합대학원 ,92.0,58,29,29,0,0,45,24,21,0,0,48.9
2022.0,특수대학원,사립,서울,기존,강서대학교 교육대학원 ,15.0,23,2,11,0,10,20,2,8,0,10,66.7
2022.0,특수대학원,사립,서울,기존,강서대학교 사회복지대학원 ,15.0,22,10,8,1,3,21,9,8,1,3,113.3
2022.0,특수대학원,사립,서울,기존,강서대학교 신학대학원 ,15.0,9,6,3,0,0,8,5,3,0,0,53.3
2022.0,일반대학원,사립,서울,기존,강서대학교 일반대학원 ,27.0,42,12,4,15,11,32,9,4,9,10,48.1
2022.0,특수대학원,국립,강원,기존,강원대학교 경영대학원 ,57.0,33,17,16,0,0,28,13,15,0,0,49.1
2022.0,특수대학원,국립,강원,기존,강원대학교 교육대학원 ,180.0,180,63,117,0,0,70,31,39,0,0,38.9
2022.0,특수대학원,국립,강원,기존,강원대학교 녹색생명산업정책대학원 ,30.0,27,14,13,0,0,24,13,11,0,0,80.0
2022.0,전문대학원,국립,강원,기존,강원대학교 방재전문대학원 _제2캠퍼스,25.0,27,25,2,0,0,26,24,2,0,0,104.0
2022.0,전문대학원,국립,강원,기존,강원대학교 법학전문대학원 ,40.0,228,122,106,0,0,42,16,26,0,0,105.0
2022.0,특수대학원,국립,강원,기존,강원대학교 산업과학대학원 _제2캠퍼스,46.0,50,30,20,0,0,45,27,18,0,0,97.8
2022.0,특수대학원,국립,강원,기존,강원대학교 산업대학원 ,62.0,29,23,6,0,0,19,15,4,0,0,30.6
2022.0,전문대학원,국립,강원,폐교,강원대학교 의학전문대학원 ,49.0,309,105,183,11,10,51,24,25,0,2,100.0
