기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,
,,,,,,,,남,여,남,여,,남,여,남,여
2024.0,일반대학원,사립,부산,기존,동의대학교 대학원 ,272.0,496,169,183,73,71,354,127,137,44,46
2024.0,특수대학원,사립,부산,기존,동의대학교 부동산대학원 ,40.0,62,41,21,0,0,40,25,15,0,0
2024.0,특수대학원,사립,부산,기존,동의대학교 산업문화대학원 ,45.0,40,15,22,3,0,28,10,18,0,0
2024.0,특수대학원,사립,경기,기존,루터대학교 대학원 ,30.0,21,3,18,0,0,16,3,13,0,0
2024.0,특수대학원,사립,서울,기존,명지대학교 경영대학원 _제2캠퍼스,30.0,92,9,6,48,29,70,6,6,35,23
2024.0,특수대학원,사립,서울,기존,명지대학교 교육대학원 _제2캠퍼스,70.0,135,19,110,0,6,36,4,28,0,4
2024.0,전문대학원,사립,서울,기존,명지대학교 기록정보과학전문대학원 _제2캠퍼스,40.0,33,21,12,0,0,25,17,8,0,0
2024.0,일반대학원,사립,경기,기존,명지대학교 대학원 ,420.0,870,232,280,201,157,582,165,185,132,100
2024.0,특수대학원,사립,서울,기존,명지대학교 문화예술대학원 _제2캠퍼스,75.0,82,9,68,0,5,56,5,49,0,2
2024.0,특수대학원,사립,서울,기존,명지대학교 부동산대학원 _제2캠퍼스,40.0,41,23,18,0,0,28,16,12,0,0
2024.0,특수대학원,사립,서울,기존,명지대학교 사회복지대학원 _제2캠퍼스,40.0,20,5,15,0,0,11,4,7,0,0
2024.0,특수대학원,사립,경기,폐교,명지대학교 산업대학원 _제2캠퍼스,70.0,75,27,46,2,0,61,23,37,1,0
2024.0,특수대학원,사립,서울,기존,명지대학교 통합치료대학원 _제2캠퍼스,250.0,415,60,350,2,3,275,46,226,2,1
2024.0,특수대학원,사립,대전,기존,목원대학교 산업정보언론대학원 ,70.0,11,7,4,0,0,11,7,4,0,0
2024.0,특수대학원,사립,대전,기존,목원대학교 웨슬리신학대학원 ,120.0,51,36,14,0,1,46,31,14,0,1
2024.0,일반대학원,사립,대전,기존,목원대학교 일반대학원 ,136.0,201,56,35,52,58,201,56,35,52,58
2024.0,특수대학원,사립,대전,기존,배재대학교 관광축제한류대학원 ,20.0,13,8,5,0,0,11,6,5,0,0
2024.0,특수대학원,사립,대전,기존,배재대학교 교육대학원 ,50.0,23,7,15,0,1,18,4,13,0,1
2024.0,특수대학원,사립,대전,신설,배재대학교 국방정책대학원 ,10.0,17,15,2,0,0,10,8,2,0,0
2024.0,일반대학원,사립,대전,기존,배재대학교 대학원 ,165.0,233,57,63,49,64,188,50,54,40,44
2024.0,특수대학원,사립,서울,기존,백석대학교 교육대학원 ,82.0,130,19,110,0,1,83,12,70,0,1
2024.0,전문대학원,사립,서울,기존,백석대학교 기독교전문대학원 ,140.0,243,82,121,19,21,176,61,84,13,18
2024.0,특수대학원,사립,서울,기존,백석대학교 문화예술대학원 ,50.0,79,26,36,6,11,61,21,27,4,9
2024.0,특수대학원,사립,서울,기존,백석대학교 보건복지대학원 ,50.0,64,22,41,0,1,39,14,24,0,1
2024.0,특수대학원,사립,서울,기존,백석대학교 상담대학원 ,150.0,246,42,203,0,1,148,27,120,0,1
2024.0,특수대학원,사립,서울,기존,백석대학교 신학대학원 ,300.0,392,195,189,3,5,296,142,148,2,4
2024.0,특수대학원,사립,서울,기존,백석대학교 실천신학대학원 ,20.0,22,8,14,0,0,19,7,12,0,0
2024.0,일반대학원,사립,서울,기존,백석대학교 일반대학원 ,20.0,440,12,95,190,143,266,3,10,143,110
2024.0,일반대학원,사립,부산,기존,부산가톨릭대학교 대학원 ,141.0,170,31,106,14,19,137,26,88,9,14
2024.0,특수대학원,사립,부산,기존,부산가톨릭대학교 미래복지상담대학원 ,20.0,24,7,17,0,0,20,4,16,0,0
2024.0,특수대학원,국립,부산,기존,부산교육대학교 교육대학원 ,375.0,255,51,204,0,0,255,51,204,0,0
2024.0,특수대학원,국립,부산,기존,부산대학교 경영대학원 ,130.0,295,175,79,34,7,166,90,39,30,7
2024.0,특수대학원,국립,부산,기존,부산대학교 경제통상대학원 ,47.0,40,17,19,2,2,29,12,13,2,2
2024.0,특수대학원,국립,부산,기존,부산대학교 교육대학원 ,330.0,593,94,448,19,32,306,45,236,9,16
2024.0,전문대학원,국립,부산,기존,부산대학교 국제전문대학원 ,66.0,135,46,41,8,40,54,23,25,3,3
2024.0,특수대학원,국립,부산,기존,부산대학교 금융대학원 ,23.0,13,13,0,0,0,13,13,0,0,0
2024.0,특수대학원,국립,부산,기존,부산대학교 기술창업대학원 ,39.0,37,18,19,0,0,21,13,8,0,0
2024.0,전문대학원,국립,부산,신설,부산대학교 데이터사이언스전문대학원 ,20.0,41,25,16,0,0,14,7,7,0,0
2024.0,전문대학원,국립,부산,기존,부산대학교 법학전문대학원 ,129.0,526,248,278,0,0,138,60,78,0,0
2024.0,특수대학원,국립,부산,기존,부산대학교 산업대학원 ,101.0,87,58,29,0,0,61,42,19,0,0
2024.0,일반대학원,국립,부산,기존,부산대학교 일반대학원 ,2270.0,3491,1345,1415,342,389,2280,1100,916,86,178
2024.0,전문대학원,국립,경남,기존,부산대학교 치의학전문대학원 ,85.0,639,380,259,0,0,85,53,32,0,0
2024.0,전문대학원,국립,경남,기존,부산대학교 한의학전문대학원 ,60.0,761,432,327,1,1,61,33,26,1,1
2024.0,특수대학원,국립,부산,기존,부산대학교 행정대학원 ,102.0,129,44,85,0,0,91,29,62,0,0
2024.0,특수대학원,국립,부산,기존,부산대학교 환경대학원 ,30.0,31,14,17,0,0,20,11,9,0,0
2024.0,특수대학원,사립,부산,기존,부산디지털대학교 휴먼서비스대학원 ,30.0,99,26,67,6,0,34,9,22,3,0
2024.0,특수대학원,사립,부산,기존,부산외국어대학교 교육대학원 ,20.0,10,3,7,0,0,4,1,3,0,0
2024.0,일반대학원,사립,부산,기존,부산외국어대학교 대학원 ,99.0,300,23,44,89,144,183,14,29,44,96
2024.0,특수대학원,사립,부산,기존,부산외국어대학교 산업・경영대학원 ,94.0,74,24,31,4,15,49,17,19,3,10
