읍면동,연령5세구간,인구수
광덕면,0-4,31
광덕면,5-9,67
광덕면,10-14,71
광덕면,15-19,86
광덕면,20-24,146
광덕면,25-29,162
광덕면,30-34,146
광덕면,35-39,146
광덕면,40-44,179
광덕면,45-49,213
광덕면,50-54,356
광덕면,55-59,455
광덕면,60-64,629
광덕면,65-69,487
광덕면,70-74,357
광덕면,75-79,231
광덕면,80-84,241
광덕면,85+,224
동면,0-4,7
동면,5-9,8
동면,10-14,25
동면,15-19,37
동면,20-24,61
동면,25-29,68
동면,30-34,44
동면,35-39,42
동면,40-44,59
동면,45-49,95
동면,50-54,145
동면,55-59,233
동면,60-64,298
동면,65-69,251
동면,70-74,202
동면,75-79,162
동면,80-84,157
동면,85+,140
목천읍,0-4,535
목천읍,5-9,937
목천읍,10-14,1227
목천읍,15-19,1260
목천읍,20-24,1511
목천읍,25-29,1238
목천읍,30-34,1068
목천읍,35-39,1264
목천읍,40-44,1883
목천읍,45-49,2272
목천읍,50-54,2545
목천읍,55-59,2147
목천읍,60-64,2084
목천읍,65-69,1344
목천읍,70-74,929
목천읍,75-79,758
목천읍,80-84,600
목천읍,85+,520
문성동,0-4,272
문성동,5-9,216
문성동,10-14,245
문성동,15-19,244
문성동,20-24,362
문성동,25-29,566
문성동,30-34,632
문성동,35-39,522
문성동,40-44,559
문성동,45-49,510
문성동,50-54,524
문성동,55-59,459
문성동,60-64,550
문성동,65-69,352
문성동,70-74,245
문성동,75-79,170
문성동,80-84,124
문성동,85+,92
백석동,0-4,1744
백석동,5-9,3143
백석동,10-14,3283
백석동,15-19,2486
백석동,20-24,2511
백석동,25-29,2401
백석동,30-34,2559
백석동,35-39,3553
백석동,40-44,4356
백석동,45-49,3596
백석동,50-54,3391
백석동,55-59,2492
백석동,60-64,1967
백석동,65-69,1016
백석동,70-74,581
백석동,75-79,382
백석동,80-84,276
백석동,85+,246
병천면,0-4,82
병천면,5-9,149
병천면,10-14,174
병천면,15-19,180
병천면,20-24,378
병천면,25-29,386
병천면,30-34,281
병천면,35-39,300
병천면,40-44,370
병천면,45-49,401
병천면,50-54,559
병천면,55-59,612
병천면,60-64,736
병천면,65-69,541
병천면,70-74,393
병천면,75-79,279
병천면,80-84,268
병천면,85+,253
봉명동,0-4,427
봉명동,5-9,595
봉명동,10-14,642
봉명동,15-19,740
봉명동,20-24,1161
봉명동,25-29,1534
봉명동,30-34,1295
봉명동,35-39,1174
봉명동,40-44,1311
봉명동,45-49,1492
봉명동,50-54,1684
봉명동,55-59,1500
봉명동,60-64,1581
봉명동,65-69,1057
봉명동,70-74,685
봉명동,75-79,458
봉명동,80-84,313
봉명동,85+,251
부성1동,0-4,2121
부성1동,5-9,2019
부성1동,10-14,1913
부성1동,15-19,2249
부성1동,20-24,4531
부성1동,25-29,5693
부성1동,30-34,5406
부성1동,35-39,4543
부성1동,40-44,4053
부성1동,45-49,3827
부성1동,50-54,4037
부성1동,55-59,3062
부성1동,60-64,2300
부성1동,65-69,1239
부성1동,70-74,813
부성1동,75-79,572
부성1동,80-84,435
부성1동,85+,330
부성2동,0-4,4126
부성2동,5-9,4647
부성2동,10-14,3226
부성2동,15-19,2207
부성2동,20-24,3011
부성2동,25-29,4695
부성2동,30-34,6920
부성2동,35-39,7934
부성2동,40-44,6441
부성2동,45-49,3991
부성2동,50-54,3481
부성2동,55-59,2532
부성2동,60-64,1958
부성2동,65-69,970
부성2동,70-74,547
부성2동,75-79,336
부성2동,80-84,258
부성2동,85+,235
북면,0-4,39
북면,5-9,70
북면,10-14,87
북면,15-19,116
북면,20-24,175
북면,25-29,169
북면,30-34,166
북면,35-39,145
북면,40-44,213
북면,45-49,269
북면,50-54,386
북면,55-59,489
북면,60-64,623
북면,65-69,446
북면,70-74,308
북면,75-79,237
북면,80-84,209
북면,85+,202
불당1동,0-4,1698
불당1동,5-9,1877
불당1동,10-14,2210
불당1동,15-19,2297
불당1동,20-24,2182
불당1동,25-29,2271
불당1동,30-34,3021
불당1동,35-39,2910
불당1동,40-44,3094
불당1동,45-49,3249
불당1동,50-54,3098
불당1동,55-59,2026
불당1동,60-64,1288
불당1동,65-69,586
불당1동,70-74,341
불당1동,75-79,187
불당1동,80-84,185
불당1동,85+,141
불당2동,0-4,2220
불당2동,5-9,3764
불당2동,10-14,3127
불당2동,15-19,2093
불당2동,20-24,1830
불당2동,25-29,1996
불당2동,30-34,2915
불당2동,35-39,4411
불당2동,40-44,4787
불당2동,45-49,3410
불당2동,50-54,2648
불당2동,55-59,1490
불당2동,60-64,860
불당2동,65-69,445
불당2동,70-74,248
불당2동,75-79,150
불당2동,80-84,117
불당2동,85+,83
성거읍,0-4,594
성거읍,5-9,946
성거읍,10-14,1158
성거읍,15-19,1069
성거읍,20-24,1182
성거읍,25-29,1270
성거읍,30-34,1057
성거읍,35-39,1344
성거읍,40-44,1973
성거읍,45-49,1977
성거읍,50-54,2082
성거읍,55-59,1755
성거읍,60-64,1594
성거읍,65-69,1065
성거읍,70-74,767
성거읍,75-79,525
성거읍,80-84,427
성거읍,85+,333
성남면,0-4,23
성남면,5-9,43
성남면,10-14,58
성남면,15-19,84
성남면,20-24,108
성남면,25-29,105
성남면,30-34,85
성남면,35-39,87
성남면,40-44,131
성남면,45-49,162
성남면,50-54,258
성남면,55-59,300
성남면,60-64,445
성남면,65-69,354
성남면,70-74,275
성남면,75-79,193
성남면,80-84,170
성남면,85+,178
성정1동,0-4,421
성정1동,5-9,461
성정1동,10-14,483
성정1동,15-19,656
성정1동,20-24,1034
성정1동,25-29,1611
성정1동,30-34,1437
성정1동,35-39,1185
성정1동,40-44,1251
성정1동,45-49,1336
성정1동,50-54,1717
성정1동,55-59,1610
성정1동,60-64,1637
성정1동,65-69,1033
성정1동,70-74,746
성정1동,75-79,533
성정1동,80-84,373
성정1동,85+,251
성정2동,0-4,389
성정2동,5-9,441
성정2동,10-14,541
성정2동,15-19,635
성정2동,20-24,2159
성정2동,25-29,4242
성정2동,30-34,3306
성정2동,35-39,2410
성정2동,40-44,2075
성정2동,45-49,1754
성정2동,50-54,1952
성정2동,55-59,1730
성정2동,60-64,1647
성정2동,65-69,1075
성정2동,70-74,654
성정2동,75-79,430
성정2동,80-84,290
성정2동,85+,227
성환읍,0-4,301
성환읍,5-9,649
성환읍,10-14,1052
성환읍,15-19,1037
성환읍,20-24,1471
성환읍,25-29,1210
성환읍,30-34,887
성환읍,35-39,1042
성환읍,40-44,1598
성환읍,45-49,1925
성환읍,50-54,2223
성환읍,55-59,2029
성환읍,60-64,2400
성환읍,65-69,1768
성환읍,70-74,1383
성환읍,75-79,1073
성환읍,80-84,911
성환읍,85+,663
수신면,0-4,14
수신면,5-9,32
수신면,10-14,35
수신면,15-19,41
수신면,20-24,82
수신면,25-29,93
수신면,30-34,97
수신면,35-39,73
수신면,40-44,96
수신면,45-49,124
수신면,50-54,180
수신면,55-59,232
수신면,60-64,315
수신면,65-69,247
수신면,70-74,180
수신면,75-79,153
수신면,80-84,155
수신면,85+,124
신방동,0-4,1398
신방동,5-9,2522
신방동,10-14,3105
신방동,15-19,2641
신방동,20-24,2821
신방동,25-29,3154
신방동,30-34,2955
신방동,35-39,3262
신방동,40-44,4451
신방동,45-49,4341
신방동,50-54,3991
신방동,55-59,3118
신방동,60-64,2520
신방동,65-69,1361
신방동,70-74,907
신방동,75-79,564
신방동,80-84,513
신방동,85+,395
신안동,0-4,1254
신안동,5-9,1332
신안동,10-14,1239
신안동,15-19,1468
신안동,20-24,3885
신안동,25-29,3753
신안동,30-34,2867
신안동,35-39,2536
신안동,40-44,2551
신안동,45-49,2430
신안동,50-54,2909
신안동,55-59,2789
신안동,60-64,2905
신안동,65-69,1836
신안동,70-74,1240
신안동,75-79,755
신안동,80-84,581
신안동,85+,413
쌍용1동,0-4,279
쌍용1동,5-9,452
쌍용1동,10-14,542
쌍용1동,15-19,627
쌍용1동,20-24,981
쌍용1동,25-29,1294
쌍용1동,30-34,972
쌍용1동,35-39,859
쌍용1동,40-44,889
쌍용1동,45-49,965
쌍용1동,50-54,1141
쌍용1동,55-59,1219
쌍용1동,60-64,1278
쌍용1동,65-69,820
쌍용1동,70-74,494
쌍용1동,75-79,327
쌍용1동,80-84,238
쌍용1동,85+,212
쌍용2동,0-4,1119
쌍용2동,5-9,1702
쌍용2동,10-14,2176
쌍용2동,15-19,2417
쌍용2동,20-24,2976
쌍용2동,25-29,2904
쌍용2동,30-34,2486
쌍용2동,35-39,2315
쌍용2동,40-44,2962
쌍용2동,45-49,3299
쌍용2동,50-54,3637
쌍용2동,55-59,3095
쌍용2동,60-64,2466
쌍용2동,65-69,1225
쌍용2동,70-74,788
쌍용2동,75-79,521
쌍용2동,80-84,394
쌍용2동,85+,333
쌍용3동,0-4,414
쌍용3동,5-9,786
쌍용3동,10-14,1019
쌍용3동,15-19,1186
쌍용3동,20-24,1263
쌍용3동,25-29,1247
쌍용3동,30-34,1049
쌍용3동,35-39,1102
쌍용3동,40-44,1375
쌍용3동,45-49,1590
쌍용3동,50-54,1853
쌍용3동,55-59,1643
쌍용3동,60-64,1409
쌍용3동,65-69,842
쌍용3동,70-74,550
쌍용3동,75-79,405
쌍용3동,80-84,358
쌍용3동,85+,304
원성1동,0-4,143
원성1동,5-9,216
원성1동,10-14,267
원성1동,15-19,349
원성1동,20-24,486
원성1동,25-29,547
원성1동,30-34,386
원성1동,35-39,434
원성1동,40-44,508
원성1동,45-49,615
원성1동,50-54,783
원성1동,55-59,873
원성1동,60-64,914
원성1동,65-69,685
원성1동,70-74,504
원성1동,75-79,336
원성1동,80-84,251
원성1동,85+,237
원성2동,0-4,91
원성2동,5-9,162
원성2동,10-14,244
원성2동,15-19,355
원성2동,20-24,495
원성2동,25-29,626
원성2동,30-34,416
원성2동,35-39,395
원성2동,40-44,569
원성2동,45-49,680
원성2동,50-54,900
원성2동,55-59,849
원성2동,60-64,1020
원성2동,65-69,696
원성2동,70-74,574
원성2동,75-79,438
원성2동,80-84,370
원성2동,85+,250
일봉동,0-4,600
일봉동,5-9,1168
일봉동,10-14,1703
일봉동,15-19,1460
일봉동,20-24,1430
일봉동,25-29,1153
일봉동,30-34,967
일봉동,35-39,1314
일봉동,40-44,2006
일봉동,45-49,2151
일봉동,50-54,2201
일봉동,55-59,1896
일봉동,60-64,1676
일봉동,65-69,1068
일봉동,70-74,713
일봉동,75-79,550
일봉동,80-84,387
일봉동,85+,298
입장면,0-4,81
입장면,5-9,169
입장면,10-14,216
입장면,15-19,270
입장면,20-24,400
입장면,25-29,430
입장면,30-34,346
입장면,35-39,350
입장면,40-44,454
입장면,45-49,557
입장면,50-54,807
입장면,55-59,942
입장면,60-64,986
입장면,65-69,757
입장면,70-74,536
입장면,75-79,415
입장면,80-84,370
입장면,85+,320
중앙동,0-4,93
중앙동,5-9,87
중앙동,10-14,110
중앙동,15-19,154
중앙동,20-24,225
중앙동,25-29,316
중앙동,30-34,304
중앙동,35-39,239
중앙동,40-44,291
중앙동,45-49,352
중앙동,50-54,487
중앙동,55-59,492
