읍면동,연령5세구간,인구수
중앙동,60-64,696
중앙동,65-69,488
중앙동,70-74,374
중앙동,75-79,316
중앙동,80-84,239
중앙동,85+,136
직산읍,0-4,522
직산읍,5-9,734
직산읍,10-14,914
직산읍,15-19,927
직산읍,20-24,1119
직산읍,25-29,1319
직산읍,30-34,1231
직산읍,35-39,1409
직산읍,40-44,1794
직산읍,45-49,1797
직산읍,50-54,1909
직산읍,55-59,1710
직산읍,60-64,1544
직산읍,65-69,1067
직산읍,70-74,681
직산읍,75-79,545
직산읍,80-84,453
직산읍,85+,332
천안시,0-4,23138
천안시,5-9,32652
천안시,10-14,34752
천안시,15-19,32798
천안시,20-24,43455
천안시,25-29,50003
천안시,30-34,48746
천안시,35-39,51518
천안시,40-44,57588
천안시,45-49,54573
천안시,50-54,56914
천안시,55-59,48044
천안시,60-64,44365
천안시,65-69,27849
천안시,70-74,18727
천안시,75-79,13204
천안시,80-84,10580
천안시,85+,8512
천안시동남구,0-4,7109
천안시동남구,5-9,10862
천안시동남구,10-14,12892
천안시동남구,15-19,12642
천안시동남구,20-24,16805
천안시동남구,25-29,17420
천안시동남구,30-34,15154
천안시동남구,35-39,16151
천안시동남구,40-44,20486
천안시동남구,45-49,21300
천안시동남구,50-54,22938
천안시동남구,55-59,20709
천안시동남구,60-64,21031
천안시동남구,65-69,13941
천안시동남구,70-74,9598
천안시동남구,75-79,6803
천안시동남구,80-84,5495
천안시동남구,85+,4502
천안시서북구,0-4,16029
천안시서북구,5-9,21790
천안시서북구,10-14,21860
천안시서북구,15-19,20156
천안시서북구,20-24,26650
천안시서북구,25-29,32583
천안시서북구,30-34,33592
천안시서북구,35-39,35367
천안시서북구,40-44,37102
천안시서북구,45-49,33273
천안시서북구,50-54,33976
천안시서북구,55-59,27335
천안시서북구,60-64,23334
천안시서북구,65-69,13908
천안시서북구,70-74,9129
천안시서북구,75-79,6401
천안시서북구,80-84,5085
천안시서북구,85+,4010
청룡동,0-4,2071
청룡동,5-9,3186
청룡동,10-14,3568
청룡동,15-19,3305
청룡동,20-24,3318
청룡동,25-29,3332
청룡동,30-34,3279
청룡동,35-39,4082
청룡동,40-44,5105
청룡동,45-49,4968
청룡동,50-54,4703
청룡동,55-59,3874
청룡동,60-64,3483
청룡동,65-69,2293
청룡동,70-74,1390
청룡동,75-79,980
청룡동,80-84,717
청룡동,85+,588
풍세면,0-4,29
풍세면,5-9,72
풍세면,10-14,92
풍세면,15-19,122
풍세면,20-24,161
풍세면,25-29,218
풍세면,30-34,166
풍세면,35-39,136
풍세면,40-44,204
풍세면,45-49,225
풍세면,50-54,327
풍세면,55-59,391
풍세면,60-64,556
풍세면,65-69,435
풍세면,70-74,322
풍세면,75-79,223
풍세면,80-84,200
풍세면,85+,201
