읍면동,연령5세구간,인구수
성정2동,35-39,2426
성정2동,40-44,1997
성정2동,45-49,1813
성정2동,50-54,1932
성정2동,55-59,1651
성정2동,60-64,1598
성정2동,65-69,982
성정2동,70-74,614
성정2동,75-79,390
성정2동,80-84,279
성정2동,85+,228
성환읍,0-4,356
성환읍,5-9,764
성환읍,10-14,1087
성환읍,15-19,1096
성환읍,20-24,1540
성환읍,25-29,1251
성환읍,30-34,855
성환읍,35-39,1192
성환읍,40-44,1598
성환읍,45-49,2026
성환읍,50-54,2175
성환읍,55-59,2041
성환읍,60-64,2346
성환읍,65-69,1688
성환읍,70-74,1390
성환읍,75-79,1068
성환읍,80-84,849
성환읍,85+,621
수신면,0-4,15
수신면,5-9,34
수신면,10-14,40
수신면,15-19,45
수신면,20-24,81
수신면,25-29,90
수신면,30-34,82
수신면,35-39,89
수신면,40-44,95
수신면,45-49,139
수신면,50-54,181
수신면,55-59,233
수신면,60-64,299
수신면,65-69,233
수신면,70-74,178
수신면,75-79,160
수신면,80-84,160
수신면,85+,118
신방동,0-4,1634
신방동,5-9,2819
신방동,10-14,3102
신방동,15-19,2672
신방동,20-24,2990
신방동,25-29,3139
신방동,30-34,2928
신방동,35-39,3658
신방동,40-44,4480
신방동,45-49,4409
신방동,50-54,3938
신방동,55-59,2991
신방동,60-64,2325
신방동,65-69,1279
신방동,70-74,828
신방동,75-79,550
신방동,80-84,484
신방동,85+,350
신안동,0-4,1348
신안동,5-9,1434
신안동,10-14,1208
신안동,15-19,1492
신안동,20-24,3725
신안동,25-29,3848
신안동,30-34,2768
신안동,35-39,2739
신안동,40-44,2484
신안동,45-49,2505
신안동,50-54,3022
신안동,55-59,2847
신안동,60-64,2698
신안동,65-69,1729
신안동,70-74,1122
신안동,75-79,716
신안동,80-84,541
신안동,85+,373
쌍용1동,0-4,314
쌍용1동,5-9,511
쌍용1동,10-14,546
쌍용1동,15-19,652
쌍용1동,20-24,1076
쌍용1동,25-29,1322
쌍용1동,30-34,935
쌍용1동,35-39,907
쌍용1동,40-44,869
쌍용1동,45-49,1009
쌍용1동,50-54,1226
쌍용1동,55-59,1235
쌍용1동,60-64,1290
쌍용1동,65-69,752
쌍용1동,70-74,464
쌍용1동,75-79,305
쌍용1동,80-84,222
쌍용1동,85+,190
쌍용2동,0-4,1350
쌍용2동,5-9,1913
쌍용2동,10-14,2271
쌍용2동,15-19,2591
쌍용2동,20-24,3055
쌍용2동,25-29,2881
쌍용2동,30-34,2417
쌍용2동,35-39,2527
쌍용2동,40-44,3079
쌍용2동,45-49,3506
쌍용2동,50-54,3632
쌍용2동,55-59,3031
쌍용2동,60-64,2233
쌍용2동,65-69,1163
쌍용2동,70-74,729
쌍용2동,75-79,496
쌍용2동,80-84,359
쌍용2동,85+,296
쌍용3동,0-4,495
쌍용3동,5-9,852
쌍용3동,10-14,1067
쌍용3동,15-19,1268
쌍용3동,20-24,1371
쌍용3동,25-29,1271
쌍용3동,30-34,1023
쌍용3동,35-39,1236
쌍용3동,40-44,1417
쌍용3동,45-49,1681
쌍용3동,50-54,1932
쌍용3동,55-59,1594
쌍용3동,60-64,1369
쌍용3동,65-69,761
쌍용3동,70-74,497
쌍용3동,75-79,424
쌍용3동,80-84,333
쌍용3동,85+,262
원성1동,0-4,178
원성1동,5-9,226
원성1동,10-14,288
원성1동,15-19,368
원성1동,20-24,514
원성1동,25-29,535
원성1동,30-34,387
원성1동,35-39,447
원성1동,40-44,541
원성1동,45-49,648
원성1동,50-54,804
원성1동,55-59,912
원성1동,60-64,889
원성1동,65-69,641
원성1동,70-74,501
원성1동,75-79,315
원성1동,80-84,224
원성1동,85+,227
원성2동,0-4,87
원성2동,5-9,183
원성2동,10-14,272
원성2동,15-19,377
원성2동,20-24,538
원성2동,25-29,600
원성2동,30-34,399
원성2동,35-39,441
원성2동,40-44,568
원성2동,45-49,745
원성2동,50-54,942
원성2동,55-59,845
원성2동,60-64,984
원성2동,65-69,696
원성2동,70-74,551
원성2동,75-79,439
원성2동,80-84,362
원성2동,85+,221
일봉동,0-4,712
일봉동,5-9,1342
일봉동,10-14,1746
일봉동,15-19,1424
일봉동,20-24,1512
일봉동,25-29,1197
일봉동,30-34,991
일봉동,35-39,1473
일봉동,40-44,2128
일봉동,45-49,2194
일봉동,50-54,2161
일봉동,55-59,1845
일봉동,60-64,1588
일봉동,65-69,993
일봉동,70-74,720
일봉동,75-79,514
일봉동,80-84,386
일봉동,85+,271
입장면,0-4,108
입장면,5-9,174
입장면,10-14,241
입장면,15-19,285
입장면,20-24,437
입장면,25-29,449
입장면,30-34,355
입장면,35-39,342
입장면,40-44,449
입장면,45-49,598
입장면,50-54,852
입장면,55-59,902
입장면,60-64,959
입장면,65-69,743
입장면,70-74,505
입장면,75-79,441
입장면,80-84,352
입장면,85+,291
중앙동,0-4,89
중앙동,5-9,87
중앙동,10-14,116
중앙동,15-19,159
중앙동,20-24,252
중앙동,25-29,293
중앙동,30-34,254
중앙동,35-39,244
중앙동,40-44,285
중앙동,45-49,361
중앙동,50-54,494
중앙동,55-59,528
중앙동,60-64,681
중앙동,65-69,515
중앙동,70-74,355
중앙동,75-79,309
중앙동,80-84,233
중앙동,85+,131
직산읍,0-4,559
직산읍,5-9,818
직산읍,10-14,912
직산읍,15-19,955
직산읍,20-24,1185
직산읍,25-29,1291
