읍면동,연령5세구간,인구수
수신면,40-44,100
수신면,45-49,136
수신면,50-54,186
수신면,55-59,275
수신면,60-64,283
수신면,65-69,214
수신면,70-74,163
수신면,75-79,165
수신면,80-84,166
수신면,85+,116
신방동,0-4,1988
신방동,5-9,2975
신방동,9-14,3075
신방동,15-19,2841
신방동,20-24,3049
신방동,25-29,3195
신방동,30-34,3073
신방동,35-39,3987
신방동,40-44,4530
신방동,45-49,4541
신방동,50-54,3739
신방동,55-59,3009
신방동,60-64,2025
신방동,65-69,1117
신방동,70-74,733
신방동,75-79,564
신방동,80-84,431
신방동,85+,316
신안동,0-4,1415
신안동,5-9,1411
신안동,9-14,1184
신안동,15-19,1594
신안동,20-24,3764
신안동,25-29,3800
신안동,30-34,2842
신안동,35-39,2822
신안동,40-44,2371
신안동,45-49,2707
신안동,50-54,3023
신안동,55-59,3107
신안동,60-64,2465
신안동,65-69,1548
신안동,70-74,1043
신안동,75-79,724
신안동,80-84,507
신안동,85+,334
쌍용1동,0-4,389
쌍용1동,5-9,536
쌍용1동,9-14,549
쌍용1동,15-19,724
쌍용1동,20-24,1188
쌍용1동,25-29,1334
쌍용1동,30-34,968
쌍용1동,35-39,966
쌍용1동,40-44,878
쌍용1동,45-49,1081
쌍용1동,50-54,1230
쌍용1동,55-59,1392
쌍용1동,60-64,1189
쌍용1동,65-69,670
쌍용1동,70-74,423
쌍용1동,75-79,320
쌍용1동,80-84,205
쌍용1동,85+,176
쌍용2동,0-4,1499
쌍용2동,5-9,2085
쌍용2동,9-14,2311
쌍용2동,15-19,2766
쌍용2동,20-24,3136
쌍용2동,25-29,2849
쌍용2동,30-34,2456
쌍용2동,35-39,2833
쌍용2동,40-44,3118
쌍용2동,45-49,3735
쌍용2동,50-54,3566
쌍용2동,55-59,3106
쌍용2동,60-64,1995
쌍용2동,65-69,1013
쌍용2동,70-74,681
쌍용2동,75-79,472
쌍용2동,80-84,366
쌍용2동,85+,281
쌍용3동,0-4,656
쌍용3동,5-9,874
쌍용3동,9-14,1104
쌍용3동,15-19,1304
쌍용3동,20-24,1454
쌍용3동,25-29,1272
쌍용3동,30-34,1048
쌍용3동,35-39,1406
쌍용3동,40-44,1469
쌍용3동,45-49,1795
쌍용3동,50-54,1858
쌍용3동,55-59,1677
쌍용3동,60-64,1191
쌍용3동,65-69,675
쌍용3동,70-74,453
쌍용3동,75-79,426
쌍용3동,80-84,302
쌍용3동,85+,248
원성1동,0-4,181
원성1동,5-9,253
원성1동,9-14,284
원성1동,15-19,421
원성1동,20-24,573
원성1동,25-29,545
원성1동,30-34,404
원성1동,35-39,501
원성1동,40-44,573
원성1동,45-49,706
원성1동,50-54,838
원성1동,55-59,938
원성1동,60-64,810
원성1동,65-69,606
원성1동,70-74,477
원성1동,75-79,329
원성1동,80-84,238
원성1동,85+,199
원성2동,0-4,108
원성2동,5-9,194
원성2동,9-14,309
원성2동,15-19,414
원성2동,20-24,584
원성2동,25-29,584
원성2동,30-34,429
원성2동,35-39,500
원성2동,40-44,576
원성2동,45-49,818
원성2동,50-54,959
원성2동,55-59,974
원성2동,60-64,856
원성2동,65-69,655
원성2동,70-74,531
원성2동,75-79,470
원성2동,80-84,338
원성2동,85+,217
일봉동,0-4,784
일봉동,5-9,1513
일봉동,9-14,1781
일봉동,15-19,1521
일봉동,20-24,1663
일봉동,25-29,1333
일봉동,30-34,1036
일봉동,35-39,1702
일봉동,40-44,2231
일봉동,45-49,2386
일봉동,50-54,2173
일봉동,55-59,2034
일봉동,60-64,1566
일봉동,65-69,958
일봉동,70-74,728
일봉동,75-79,557
일봉동,80-84,391
일봉동,85+,260
입장면,0-4,129
입장면,5-9,188
입장면,9-14,259
입장면,15-19,326
입장면,20-24,472
입장면,25-29,458
입장면,30-34,353
입장면,35-39,380
입장면,40-44,491
입장면,45-49,660
입장면,50-54,864
입장면,55-59,947
입장면,60-64,905
입장면,65-69,677
입장면,70-74,497
입장면,75-79,468
입장면,80-84,352
입장면,85+,271
중앙동,0-4,84
중앙동,5-9,91
중앙동,9-14,112
중앙동,15-19,195
중앙동,20-24,268
중앙동,25-29,284
중앙동,30-34,234
중앙동,35-39,260
중앙동,40-44,283
중앙동,45-49,412
중앙동,50-54,509
중앙동,55-59,596
중앙동,60-64,652
중앙동,65-69,513
중앙동,70-74,374
중앙동,75-79,336
중앙동,80-84,215
중앙동,85+,145
직산읍,0-4,588
직산읍,5-9,815
직산읍,9-14,902
직산읍,15-19,993
직산읍,20-24,1191
직산읍,25-29,1198
직산읍,30-34,1173
직산읍,35-39,1503
직산읍,40-44,1682
직산읍,45-49,1856
직산읍,50-54,1786
직산읍,55-59,1667
직산읍,60-64,1361
직산읍,65-69,822
직산읍,70-74,620
직산읍,75-79,524
직산읍,80-84,431
직산읍,85+,274
천안시,0-4,28282
천안시,5-9,35164
천안시,9-14,33763
천안시,15-19,35306
천안시,20-24,45699
천안시,25-29,50364
천안시,30-34,49436
천안시,35-39,57455
천안시,40-44,54551
천안시,45-49,57543
천안시,50-54,53827
천안시,55-59,48860
천안시,60-64,37714
천안시,65-69,23389
천안시,70-74,16632
천안시,75-79,13213
천안시,80-84,9733
천안시,85+,7349
천안시동남구,0-4,8832
천안시동남구,5-9,12250
천안시동남구,9-14,12856
천안시동남구,15-19,13779
천안시동남구,20-24,17861
천안시동남구,25-29,17639
천안시동남구,30-34,15109
천안시동남구,35-39,18894
천안시동남구,40-44,20431
천안시동남구,45-49,22919
천안시동남구,50-54,22195
천안시동남구,55-59,21857
천안시동남구,60-64,18160
천안시동남구,65-69,11903
천안시동남구,70-74,8536
천안시동남구,75-79,6890
천안시동남구,80-84,5162
천안시동남구,85+,3946
천안시서북구,0-4,19450
천안시서북구,5-9,22914
천안시서북구,9-14,20907
천안시서북구,15-19,21527
천안시서북구,20-24,27838
천안시서북구,25-29,32725
천안시서북구,30-34,34327
천안시서북구,35-39,38561
천안시서북구,40-44,34120
천안시서북구,45-49,34624
천안시서북구,50-54,31632
천안시서북구,55-59,27003
천안시서북구,60-64,19554
천안시서북구,65-69,11486
천안시서북구,70-74,8096
천안시서북구,75-79,6323
천안시서북구,80-84,4571
천안시서북구,85+,3403
청룡동,0-4,2718
청룡동,5-9,3510
청룡동,9-14,3488
청룡동,15-19,3547
청룡동,20-24,3610
청룡동,25-29,3617
청룡동,30-34,3675
청룡동,35-39,5064
청룡동,40-44,5013
청룡동,45-49,5199
청룡동,50-54,4412
청룡동,55-59,3970
청룡동,60-64,3055
청룡동,65-69,1857
청룡동,70-74,1202
청룡동,75-79,979
청룡동,80-84,628
청룡동,85+,524
풍세면,0-4,62
풍세면,5-9,89
풍세면,9-14,102
풍세면,15-19,143
풍세면,20-24,172
풍세면,25-29,218
풍세면,30-34,165
풍세면,35-39,166
풍세면,40-44,202
풍세면,45-49,261
풍세면,50-54,319
풍세면,55-59,478
풍세면,60-64,519
풍세면,65-69,378
풍세면,70-74,254
풍세면,75-79,255
풍세면,80-84,207
풍세면,85+,175
