읍면동,연령5세구간,인구수
광덕면,0-4,43
광덕면,5-9,79
광덕면,9-14,87
광덕면,15-19,115
광덕면,20-24,172
광덕면,25-29,210
광덕면,30-34,143
광덕면,35-39,152
광덕면,40-44,196
광덕면,45-49,264
광덕면,50-54,362
광덕면,55-59,537
광덕면,60-64,551
광덕면,65-69,413
광덕면,70-74,311
광덕면,75-79,262
광덕면,80-84,242
광덕면,85+,205
동면,0-4,11
동면,5-9,21
동면,9-14,32
동면,15-19,51
동면,20-24,72
동면,25-29,65
동면,30-34,41
동면,35-39,56
동면,40-44,70
동면,45-49,114
동면,50-54,165
동면,55-59,290
동면,60-64,257
동면,65-69,237
동면,70-74,186
동면,75-79,183
동면,80-84,149
동면,85+,154
목천읍,0-4,696
목천읍,5-9,1095
목천읍,9-14,1341
목천읍,15-19,1496
목천읍,20-24,1580
목천읍,25-29,1188
목천읍,30-34,1044
목천읍,35-39,1520
목천읍,40-44,2018
목천읍,45-49,2571
목천읍,50-54,2281
목천읍,55-59,2095
목천읍,60-64,1675
목천읍,65-69,1081
목천읍,70-74,815
목천읍,75-79,705
목천읍,80-84,585
목천읍,85+,438
문성동,0-4,39
문성동,5-9,55
문성동,9-14,44
문성동,15-19,133
문성동,20-24,231
문성동,25-29,267
문성동,30-34,203
문성동,35-39,200
문성동,40-44,232
문성동,45-49,254
문성동,50-54,306
문성동,55-59,395
문성동,60-64,423
문성동,65-69,287
문성동,70-74,219
문성동,75-79,178
문성동,80-84,120
문성동,85+,92
백석동,0-4,2342
백석동,5-9,3541
백석동,9-14,3036
백석동,15-19,2603
백석동,20-24,2662
백석동,25-29,2511
백석동,30-34,2851
백석동,35-39,4343
백석동,40-44,4036
백석동,45-49,3723
백석동,50-54,3101
백석동,55-59,2503
백석동,60-64,1542
백석동,65-69,786
백석동,70-74,524
백석동,75-79,353
백석동,80-84,253
백석동,85+,202
병천면,0-4,96
병천면,5-9,168
병천면,9-14,153
병천면,15-19,196
병천면,20-24,384
병천면,25-29,380
병천면,30-34,271
병천면,35-39,305
병천면,40-44,342
병천면,45-49,416
병천면,50-54,567
병천면,55-59,633
병천면,60-64,632
병천면,65-69,472
병천면,70-74,349
병천면,75-79,279
병천면,80-84,253
병천면,85+,239
봉명동,0-4,487
봉명동,5-9,615
봉명동,9-14,641
봉명동,15-19,811
봉명동,20-24,1315
봉명동,25-29,1541
봉명동,30-34,1209
봉명동,35-39,1272
봉명동,40-44,1313
봉명동,45-49,1645
봉명동,50-54,1695
봉명동,55-59,1640
봉명동,60-64,1417
봉명동,65-69,903
봉명동,70-74,597
봉명동,75-79,457
봉명동,80-84,288
봉명동,85+,197
부성1동,0-4,1920
부성1동,5-9,1741
부성1동,9-14,1766
부성1동,15-19,2226
부성1동,20-24,4154
부성1동,25-29,5214
부성1동,30-34,4358
부성1동,35-39,4010
부성1동,40-44,3396
부성1동,45-49,3553
부성1동,50-54,3439
부성1동,55-59,2701
부성1동,60-64,1685
부성1동,65-69,929
부성1동,70-74,661
부성1동,75-79,519
부성1동,80-84,365
부성1동,85+,258
부성2동,0-4,4971
부성2동,5-9,4345
부성2동,9-14,2697
부성2동,15-19,2270
부성2동,20-24,3111
부성2동,25-29,5149
부성2동,30-34,7844
부성2동,35-39,8025
부성2동,40-44,5139
부성2동,45-49,3881
부성2동,50-54,3255
부성2동,55-59,2414
부성2동,60-64,1497
부성2동,65-69,786
부성2동,70-74,452
부성2동,75-79,330
부성2동,80-84,234
부성2동,85+,192
북면,0-4,61
북면,5-9,91
북면,9-14,115
북면,15-19,137
북면,20-24,196
북면,25-29,185
북면,30-34,151
북면,35-39,189
북면,40-44,234
북면,45-49,296
북면,50-54,380
북면,55-59,516
북면,60-64,552
북면,65-69,348
북면,70-74,290
북면,75-79,227
북면,80-84,232
북면,85+,170
불당동,0-4,4791
불당동,5-9,5845
불당동,9-14,4858
불당동,15-19,4447
불당동,20-24,4214
불당동,25-29,4609
불당동,30-34,6789
불당동,35-39,8350
불당동,40-44,7107
불당동,45-49,6776
불당동,50-54,5078
불당동,55-59,3301
불당동,60-64,1677
불당동,65-69,814
불당동,70-74,508
불당동,75-79,356
불당동,80-84,263
불당동,85+,200
성거읍,0-4,835
성거읍,5-9,1134
성거읍,9-14,1233
성거읍,15-19,1203
성거읍,20-24,1339
성거읍,25-29,1221
성거읍,30-34,1220
성거읍,35-39,1839
성거읍,40-44,2080
성거읍,45-49,2120
성거읍,50-54,1937
성거읍,55-59,1758
성거읍,60-64,1421
성거읍,65-69,925
성거읍,70-74,671
성거읍,75-79,520
성거읍,80-84,371
성거읍,85+,293
성남면,0-4,39
성남면,5-9,51
성남면,9-14,72
성남면,15-19,108
성남면,20-24,137
성남면,25-29,120
성남면,30-34,94
성남면,35-39,118
성남면,40-44,147
성남면,45-49,193
성남면,50-54,281
성남면,55-59,370
성남면,60-64,422
성남면,65-69,316
성남면,70-74,264
성남면,75-79,220
성남면,80-84,172
성남면,85+,165
성정1동,0-4,372
성정1동,5-9,435
성정1동,9-14,453
성정1동,15-19,635
성정1동,20-24,1036
성정1동,25-29,1425
성정1동,30-34,1145
성정1동,35-39,1106
성정1동,40-44,1126
성정1동,45-49,1357
성정1동,50-54,1574
성정1동,55-59,1611
성정1동,60-64,1364
성정1동,65-69,904
성정1동,70-74,661
성정1동,75-79,544
성정1동,80-84,338
성정1동,85+,207
성정2동,0-4,488
성정2동,5-9,520
성정2동,9-14,597
성정2동,15-19,813
성정2동,20-24,2290
성정2동,25-29,4219
성정2동,30-34,3207
성정2동,35-39,2436
성정2동,40-44,1916
성정2동,45-49,1863
성정2동,50-54,1803
성정2동,55-59,1758
성정2동,60-64,1494
성정2동,65-69,867
성정2동,70-74,572
성정2동,75-79,396
성정2동,80-84,265
성정2동,85+,204
성환읍,0-4,470
성환읍,5-9,855
성환읍,9-14,1142
성환읍,15-19,1217
성환읍,20-24,1591
성환읍,25-29,1266
성환읍,30-34,915
성환읍,35-39,1364
성환읍,40-44,1682
성환읍,45-49,2224
성환읍,50-54,2141
성환읍,55-59,2168
성환읍,60-64,2233
성환읍,65-69,1618
성환읍,70-74,1373
성환읍,75-79,1095
성환읍,80-84,826
성환읍,85+,597
수신면,0-4,20
수신면,5-9,39
수신면,9-14,36
수신면,15-19,56
수신면,20-24,91
수신면,25-29,107
수신면,30-34,95
수신면,35-39,80
