읍면동,연령5세구간,인구수
광덕면,0-4,31
광덕면,5-9,56
광덕면,10-14,68
광덕면,15-19,88
광덕면,20-24,113
광덕면,25-29,152
광덕면,30-34,143
광덕면,35-39,139
광덕면,40-44,180
광덕면,45-49,202
광덕면,50-54,321
광덕면,55-59,428
광덕면,60-64,657
광덕면,65-69,511
광덕면,70-74,362
광덕면,75-79,258
광덕면,80-84,231
광덕면,85+,233
동면,0-4,7
동면,5-9,5
동면,10-14,19
동면,15-19,29
동면,20-24,47
동면,25-29,67
동면,30-34,40
동면,35-39,42
동면,40-44,49
동면,45-49,92
동면,50-54,122
동면,55-59,225
동면,60-64,313
동면,65-69,248
동면,70-74,214
동면,75-79,152
동면,80-84,164
동면,85+,160
목천읍,0-4,424
목천읍,5-9,849
목천읍,10-14,1122
목천읍,15-19,1196
목천읍,20-24,1377
목천읍,25-29,1230
목천읍,30-34,1009
목천읍,35-39,1110
목천읍,40-44,1743
목천읍,45-49,2095
목천읍,50-54,2601
목천읍,55-59,2200
목천읍,60-64,2213
목천읍,65-69,1443
목천읍,70-74,967
목천읍,75-79,773
목천읍,80-84,610
목천읍,85+,580
문성동,0-4,359
문성동,5-9,272
문성동,10-14,324
문성동,15-19,340
문성동,20-24,453
문성동,25-29,589
문성동,30-34,808
문성동,35-39,637
문성동,40-44,682
문성동,45-49,611
문성동,50-54,627
문성동,55-59,508
문성동,60-64,589
문성동,65-69,409
문성동,70-74,257
문성동,75-79,197
문성동,80-84,123
문성동,85+,100
백석동,0-4,1399
백석동,5-9,2933
백석동,10-14,3312
백석동,15-19,2534
백석동,20-24,2369
백석동,25-29,2330
백석동,30-34,2469
백석동,35-39,3155
백석동,40-44,4428
백석동,45-49,3590
백석동,50-54,3377
백석동,55-59,2656
백석동,60-64,2116
백석동,65-69,1157
백석동,70-74,613
백석동,75-79,419
백석동,80-84,298
백석동,85+,262
병천면,0-4,71
병천면,5-9,130
병천면,10-14,156
병천면,15-19,168
병천면,20-24,391
병천면,25-29,359
병천면,30-34,269
병천면,35-39,278
병천면,40-44,347
병천면,45-49,396
병천면,50-54,530
병천면,55-59,611
병천면,60-64,752
병천면,65-69,598
병천면,70-74,381
병천면,75-79,281
병천면,80-84,272
병천면,85+,254
봉명동,0-4,400
봉명동,5-9,510
봉명동,10-14,600
봉명동,15-19,692
봉명동,20-24,1083
봉명동,25-29,1443
봉명동,30-34,1284
봉명동,35-39,1073
봉명동,40-44,1266
봉명동,45-49,1387
봉명동,50-54,1654
봉명동,55-59,1474
봉명동,60-64,1567
봉명동,65-69,1146
봉명동,70-74,693
봉명동,75-79,487
봉명동,80-84,359
봉명동,85+,247
부성1동,0-4,2030
부성1동,5-9,1969
부성1동,10-14,1880
부성1동,15-19,2311
부성1동,20-24,4660
부성1동,25-29,5580
부성1동,30-34,5660
부성1동,35-39,4527
부성1동,40-44,4148
부성1동,45-49,3784
부성1동,50-54,4137
부성1동,55-59,3181
부성1동,60-64,2634
부성1동,65-69,1389
부성1동,70-74,837
부성1동,75-79,588
부성1동,80-84,488
부성1동,85+,342
부성2동,0-4,3990
부성2동,5-9,4863
부성2동,10-14,3507
부성2동,15-19,2459
부성2동,20-24,2926
부성2동,25-29,4476
부성2동,30-34,6777
부성2동,35-39,8020
부성2동,40-44,7267
부성2동,45-49,4376
부성2동,50-54,3691
부성2동,55-59,2713
부성2동,60-64,2184
부성2동,65-69,1138
부성2동,70-74,599
부성2동,75-79,348
부성2동,80-84,307
부성2동,85+,252
북면,0-4,36
북면,5-9,60
북면,10-14,87
북면,15-19,105
북면,20-24,149
북면,25-29,165
북면,30-34,159
북면,35-39,140
북면,40-44,223
북면,45-49,247
북면,50-54,354
북면,55-59,479
북면,60-64,648
북면,65-69,490
북면,70-74,320
북면,75-79,248
북면,80-84,194
북면,85+,213
불당1동,0-4,1501
불당1동,5-9,1745
불당1동,10-14,2164
불당1동,15-19,2300
불당1동,20-24,2127
불당1동,25-29,2152
불당1동,30-34,2915
불당1동,35-39,2786
불당1동,40-44,3109
불당1동,45-49,3089
불당1동,50-54,3205
불당1동,55-59,2121
불당1동,60-64,1526
불당1동,65-69,677
불당1동,70-74,355
불당1동,75-79,216
불당1동,80-84,186
불당1동,85+,156
불당2동,0-4,1961
불당2동,5-9,3589
불당2동,10-14,3391
