읍면동,연령5세구간,인구수
불당2동,15-19,2252
불당2동,20-24,1752
불당2동,25-29,1975
불당2동,30-34,2795
불당2동,35-39,4060
불당2동,40-44,5135
불당2동,45-49,3613
불당2동,50-54,2753
불당2동,55-59,1563
불당2동,60-64,1021
불당2동,65-69,498
불당2동,70-74,280
불당2동,75-79,143
불당2동,80-84,122
불당2동,85+,94
성거읍,0-4,484
성거읍,5-9,796
성거읍,10-14,1057
성거읍,15-19,1078
성거읍,20-24,1119
성거읍,25-29,1199
성거읍,30-34,1025
성거읍,35-39,1138
성거읍,40-44,1834
성거읍,45-49,1896
성거읍,50-54,2132
성거읍,55-59,1813
성거읍,60-64,1710
성거읍,65-69,1138
성거읍,70-74,796
성거읍,75-79,541
성거읍,80-84,419
성거읍,85+,367
성남면,0-4,23
성남면,5-9,34
성남면,10-14,57
성남면,15-19,87
성남면,20-24,91
성남면,25-29,96
성남면,30-34,85
성남면,35-39,78
성남면,40-44,118
성남면,45-49,155
성남면,50-54,260
성남면,55-59,284
성남면,60-64,426
성남면,65-69,374
성남면,70-74,279
성남면,75-79,196
성남면,80-84,177
성남면,85+,179
성정1동,0-4,387
성정1동,5-9,404
성정1동,10-14,478
성정1동,15-19,599
성정1동,20-24,985
성정1동,25-29,1559
성정1동,30-34,1460
성정1동,35-39,1139
성정1동,40-44,1209
성정1동,45-49,1279
성정1동,50-54,1669
성정1동,55-59,1541
성정1동,60-64,1664
성정1동,65-69,1156
성정1동,70-74,739
성정1동,75-79,525
성정1동,80-84,401
성정1동,85+,274
성정2동,0-4,308
성정2동,5-9,394
성정2동,10-14,511
성정2동,15-19,594
성정2동,20-24,2036
성정2동,25-29,4009
성정2동,30-34,3471
성정2동,35-39,2307
성정2동,40-44,2168
성정2동,45-49,1721
성정2동,50-54,1971
성정2동,55-59,1753
성정2동,60-64,1717
성정2동,65-69,1148
성정2동,70-74,656
성정2동,75-79,447
성정2동,80-84,313
성정2동,85+,224
성환읍,0-4,253
성환읍,5-9,547
성환읍,10-14,970
성환읍,15-19,1013
성환읍,20-24,1364
성환읍,25-29,1222
성환읍,30-34,887
성환읍,35-39,904
성환읍,40-44,1498
성환읍,45-49,1785
성환읍,50-54,2222
성환읍,55-59,2076
성환읍,60-64,2397
성환읍,65-69,1877
성환읍,70-74,1366
성환읍,75-79,1090
성환읍,80-84,942
성환읍,85+,733
수신면,0-4,8
수신면,5-9,21
수신면,10-14,37
수신면,15-19,40
수신면,20-24,75
수신면,25-29,99
수신면,30-34,91
수신면,35-39,74
수신면,40-44,84
수신면,45-49,120
수신면,50-54,159
수신면,55-59,221
수신면,60-64,305
수신면,65-69,256
수신면,70-74,188
수신면,75-79,145
수신면,80-84,147
수신면,85+,137
신방동,0-4,1200
신방동,5-9,2212
신방동,10-14,2992
신방동,15-19,2701
신방동,20-24,2733
신방동,25-29,3232
신방동,30-34,3005
신방동,35-39,2941
신방동,40-44,4323
신방동,45-49,4304
신방동,50-54,4152
신방동,55-59,3165
신방동,60-64,2735
신방동,65-69,1549
신방동,70-74,956
신방동,75-79,592
신방동,80-84,515
신방동,85+,416
신안동,0-4,1059
신안동,5-9,1238
신안동,10-14,1237
신안동,15-19,1531
신안동,20-24,4195
신안동,25-29,3616
신안동,30-34,2758
신안동,35-39,2437
신안동,40-44,2531
신안동,45-49,2332
신안동,50-54,2824
신안동,55-59,2721
신안동,60-64,2960
신안동,65-69,1988
신안동,70-74,1286
신안동,75-79,811
신안동,80-84,583
신안동,85+,468
쌍용1동,0-4,255
쌍용1동,5-9,415
쌍용1동,10-14,522
쌍용1동,15-19,602
쌍용1동,20-24,915
쌍용1동,25-29,1231
쌍용1동,30-34,952
쌍용1동,35-39,834
쌍용1동,40-44,920
쌍용1동,45-49,872
쌍용1동,50-54,1128
쌍용1동,55-59,1147
쌍용1동,60-64,1286
쌍용1동,65-69,903
쌍용1동,70-74,520
쌍용1동,75-79,332
쌍용1동,80-84,243
쌍용1동,85+,207
쌍용2동,0-4,956
쌍용2동,5-9,1501
쌍용2동,10-14,2035
쌍용2동,15-19,2318
쌍용2동,20-24,2890
쌍용2동,25-29,2734
쌍용2동,30-34,2483
쌍용2동,35-39,2111
쌍용2동,40-44,2872
쌍용2동,45-49,3086
쌍용2동,50-54,3633
쌍용2동,55-59,3123
쌍용2동,60-64,2624
쌍용2동,65-69,1390
쌍용2동,70-74,812
쌍용2동,75-79,565
쌍용2동,80-84,438
쌍용2동,85+,342
쌍용3동,0-4,353
쌍용3동,5-9,672
쌍용3동,10-14,919
쌍용3동,15-19,1141
쌍용3동,20-24,1197
쌍용3동,25-29,1231
쌍용3동,30-34,1110
쌍용3동,35-39,960
쌍용3동,40-44,1343
쌍용3동,45-49,1495
쌍용3동,50-54,1794
쌍용3동,55-59,1639
쌍용3동,60-64,1518
쌍용3동,65-69,934
쌍용3동,70-74,593
쌍용3동,75-79,443
쌍용3동,80-84,363
쌍용3동,85+,326
원성1동,0-4,107
원성1동,5-9,202
원성1동,10-14,269
원성1동,15-19,320
원성1동,20-24,438
원성1동,25-29,508
원성1동,30-34,414
원성1동,35-39,368
원성1동,40-44,507
원성1동,45-49,576
원성1동,50-54,726
원성1동,55-59,806
원성1동,60-64,953
원성1동,65-69,714
원성1동,70-74,491
원성1동,75-79,343
원성1동,80-84,260
원성1동,85+,243
원성2동,0-4,97
원성2동,5-9,154
원성2동,10-14,230
원성2동,15-19,342
원성2동,20-24,433
원성2동,25-29,589
원성2동,30-34,473
원성2동,35-39,382
원성2동,40-44,518
원성2동,45-49,646
원성2동,50-54,861
원성2동,55-59,877
원성2동,60-64,1026
원성2동,65-69,787
원성2동,70-74,571
원성2동,75-79,456
원성2동,80-84,401
원성2동,85+,283
일봉동,0-4,499
일봉동,5-9,1046
일봉동,10-14,1623
일봉동,15-19,1486
일봉동,20-24,1314
일봉동,25-29,1188
일봉동,30-34,929
일봉동,35-39,1165
일봉동,40-44,1950
일봉동,45-49,2088
일봉동,50-54,2174
일봉동,55-59,1936
일봉동,60-64,1765
일봉동,65-69,1140
일봉동,70-74,739
일봉동,75-79,556
일봉동,80-84,410
일봉동,85+,298
입장면,0-4,78
입장면,5-9,144
입장면,10-14,197
입장면,15-19,262
입장면,20-24,353
입장면,25-29,415
입장면,30-34,344
입장면,35-39,299
입장면,40-44,422
입장면,45-49,518
입장면,50-54,762
입장면,55-59,913
입장면,60-64,1049
입장면,65-69,804
입장면,70-74,543
입장면,75-79,424
입장면,80-84,372
입장면,85+,309
중앙동,0-4,78
중앙동,5-9,83
중앙동,10-14,87
중앙동,15-19,150
중앙동,20-24,215
중앙동,25-29,286
중앙동,30-34,302
중앙동,35-39,235
중앙동,40-44,276
중앙동,45-49,316
중앙동,50-54,443
중앙동,55-59,471
중앙동,60-64,678
중앙동,65-69,495
중앙동,70-74,390
중앙동,75-79,315
중앙동,80-84,242
중앙동,85+,140
직산읍,0-4,438
직산읍,5-9,659
직산읍,10-14,848
직산읍,15-19,915
직산읍,20-24,1062
직산읍,25-29,1310
직산읍,30-34,1202
직산읍,35-39,1301
직산읍,40-44,1699
직산읍,45-49,1728
직산읍,50-54,1977
직산읍,55-59,1707
직산읍,60-64,1632
직산읍,65-69,1130
직산읍,70-74,689
직산읍,75-79,565
직산읍,80-84,453
직산읍,85+,355
천안시,0-4,21038
천안시,5-9,30855
천안시,10-14,34439
천안시,15-19,33263
천안시,20-24,42350
천안시,25-29,48824
천안시,30-34,49390
천안시,35-39,49084
천안시,40-44,58595
천안시,45-49,53650
천안시,50-54,57726
천안시,55-59,48806
천안시,60-64,47082
천안시,65-69,30523
천안시,70-74,19360
천안시,75-79,13654
천안시,80-84,11029
천안시,85+,9026
천안시동남구,0-4,6645
천안시동남구,5-9,10224
천안시동남구,10-14,12648
천안시동남구,15-19,12885
천안시동남구,20-24,16595
천안시동남구,25-29,17401
천안시동남구,30-34,15840
천안시동남구,35-39,15543
천안시동남구,40-44,20543
천안시동남구,45-49,20818
천안시동남구,50-54,23275
천안시동남구,55-59,20860
천안시동남구,60-64,22004
천안시동남구,65-69,15184
천안시동남구,70-74,9962
천안시동남구,75-79,7008
천안시동남구,80-84,5684
천안시동남구,85+,4783
천안시서북구,0-4,14393
천안시서북구,5-9,20631
천안시서북구,10-14,21791
천안시서북구,15-19,20378
천안시서북구,20-24,25755
천안시서북구,25-29,31423
천안시서북구,30-34,33550
천안시서북구,35-39,33541
천안시서북구,40-44,38052
천안시서북구,45-49,32832
천안시서북구,50-54,34451
천안시서북구,55-59,27946
천안시서북구,60-64,25078
천안시서북구,65-69,15339
천안시서북구,70-74,9398
천안시서북구,75-79,6646
천안시서북구,80-84,5345
천안시서북구,85+,4243
청룡동,0-4,2218
청룡동,5-9,3281
청룡동,10-14,3668
청룡동,15-19,3496
청룡동,20-24,3333
청룡동,25-29,3575
청룡동,30-34,3904
청룡동,35-39,4309
청룡동,40-44,5557
청룡동,45-49,5053
청룡동,50-54,5164
청룡동,55-59,4090
청룡동,60-64,3853
청룡동,65-69,2573
청룡동,70-74,1543
청룡동,75-79,983
청룡동,80-84,794
청룡동,85+,623
풍세면,0-4,28
풍세면,5-9,71
풍세면,10-14,72
풍세면,15-19,114
풍세면,20-24,155
풍세면,25-29,207
풍세면,30-34,167
풍세면,35-39,135
풍세면,40-44,189
풍세면,45-49,198
풍세면,50-54,303
풍세면,55-59,364
풍세면,60-64,564
풍세면,65-69,463
풍세면,70-74,325
풍세면,75-79,215
풍세면,80-84,202
풍세면,85+,209
