읍면동,연령5세구간,인구수
성정1동,30-34,1402
성정1동,35-39,1073
성정1동,40-44,1099
성정1동,45-49,1225
성정1동,50-54,1531
성정1동,55-59,1632
성정1동,60-64,1582
성정1동,65-69,1337
성정1동,70-74,829
성정1동,75-79,576
성정1동,80-84,418
성정1동,85+,318
성정2동,0-4,219
성정2동,5-9,290
성정2동,10-14,440
성정2동,15-19,539
성정2동,20-24,1647
성정2동,25-29,3494
성정2동,30-34,3385
성정2동,35-39,2279
성정2동,40-44,2191
성정2동,45-49,1735
성정2동,50-54,1771
성정2동,55-59,1770
성정2동,60-64,1662
성정2동,65-69,1361
성정2동,70-74,755
성정2동,75-79,515
성정2동,80-84,331
성정2동,85+,244
성환읍,0-4,172
성환읍,5-9,387
성환읍,10-14,735
성환읍,15-19,993
성환읍,20-24,1196
성환읍,25-29,1112
성환읍,30-34,890
성환읍,35-39,743
성환읍,40-44,1195
성환읍,45-49,1504
성환읍,50-54,2095
성환읍,55-59,2081
성환읍,60-64,2149
성환읍,65-69,2146
성환읍,70-74,1488
성환읍,75-79,1194
성환읍,80-84,877
성환읍,85+,833
수신면,0-4,7
수신면,5-9,12
수신면,10-14,32
수신면,15-19,36
수신면,20-24,41
수신면,25-29,86
수신면,30-34,72
수신면,35-39,71
수신면,40-44,75
수신면,45-49,101
수신면,50-54,136
수신면,55-59,198
수신면,60-64,287
수신면,65-69,294
수신면,70-74,189
수신면,75-79,148
수신면,80-84,138
수신면,85+,151
신방동,0-4,893
신방동,5-9,1665
신방동,10-14,2732
신방동,15-19,2725
신방동,20-24,2331
신방동,25-29,3014
신방동,30-34,3111
신방동,35-39,2685
신방동,40-44,3615
신방동,45-49,4106
신방동,50-54,4290
신방동,55-59,3521
신방동,60-64,2941
신방동,65-69,2014
신방동,70-74,1144
신방동,75-79,739
신방동,80-84,548
신방동,85+,474
신안동,0-4,1005
신안동,5-9,1106
신안동,10-14,1340
신안동,15-19,1677
신안동,20-24,4520
신안동,25-29,3425
신안동,30-34,3043
신안동,35-39,2347
신안동,40-44,2523
신안동,45-49,2337
신안동,50-54,2755
신안동,55-59,2878
신안동,60-64,2925
신안동,65-69,2315
신안동,70-74,1472
신안동,75-79,1008
신안동,80-84,607
신안동,85+,559
쌍용1동,0-4,161
쌍용1동,5-9,291
쌍용1동,10-14,485
쌍용1동,15-19,533
쌍용1동,20-24,783
쌍용1동,25-29,1103
쌍용1동,30-34,893
쌍용1동,35-39,696
쌍용1동,40-44,778
쌍용1동,45-49,825
쌍용1동,50-54,1002
쌍용1동,55-59,1101
쌍용1동,60-64,1226
쌍용1동,65-69,1080
쌍용1동,70-74,635
쌍용1동,75-79,394
쌍용1동,80-84,269
쌍용1동,85+,256
쌍용2동,0-4,672
쌍용2동,5-9,1153
쌍용2동,10-14,1793
