읍면동,연령5세구간,인구수
광덕면,0-4,25
광덕면,5-9,46
광덕면,10-14,64
광덕면,15-19,78
광덕면,20-24,100
광덕면,25-29,146
광덕면,30-34,128
광덕면,35-39,126
광덕면,40-44,162
광덕면,45-49,200
광덕면,50-54,314
광덕면,55-59,408
광덕면,60-64,633
광덕면,65-69,534
광덕면,70-74,376
광덕면,75-79,264
광덕면,80-84,211
광덕면,85+,253
동면,0-4,7
동면,5-9,7
동면,10-14,15
동면,15-19,24
동면,20-24,50
동면,25-29,53
동면,30-34,40
동면,35-39,37
동면,40-44,52
동면,45-49,80
동면,50-54,121
동면,55-59,216
동면,60-64,318
동면,65-69,261
동면,70-74,211
동면,75-79,161
동면,80-84,158
동면,85+,157
목천읍,0-4,333
목천읍,5-9,679
목천읍,10-14,1022
목천읍,15-19,1166
목천읍,20-24,1224
목천읍,25-29,1237
목천읍,30-34,982
목천읍,35-39,991
목천읍,40-44,1534
목천읍,45-49,1941
목천읍,50-54,2522
목천읍,55-59,2365
목천읍,60-64,2169
목천읍,65-69,1595
목천읍,70-74,1005
목천읍,75-79,798
목천읍,80-84,617
목천읍,85+,627
문성동,0-4,344
문성동,5-9,272
문성동,10-14,344
문성동,15-19,337
문성동,20-24,440
문성동,25-29,599
문성동,30-34,742
문성동,35-39,620
문성동,40-44,671
문성동,45-49,633
문성동,50-54,627
문성동,55-59,559
문성동,60-64,551
문성동,65-69,443
문성동,70-74,261
문성동,75-79,199
문성동,80-84,128
문성동,85+,108
백석동,0-4,1216
백석동,5-9,2626
백석동,10-14,3437
백석동,15-19,2667
백석동,20-24,2259
백석동,25-29,2301
백석동,30-34,2364
백석동,35-39,2939
백석동,40-44,4397
백석동,45-49,3669
백석동,50-54,3485
백석동,55-59,2871
백석동,60-64,2167
백석동,65-69,1370
백석동,70-74,660
백석동,75-79,448
백석동,80-84,298
백석동,85+,291
병천면,0-4,51
병천면,5-9,111
병천면,10-14,160
병천면,15-19,150
병천면,20-24,379
병천면,25-29,342
병천면,30-34,263
병천면,35-39,235
병천면,40-44,325
병천면,45-49,355
병천면,50-54,516
병천면,55-59,606
병천면,60-64,715
병천면,65-69,641
병천면,70-74,411
병천면,75-79,290
병천면,80-84,241
병천면,85+,286
봉명동,0-4,351
봉명동,5-9,434
봉명동,10-14,587
봉명동,15-19,644
봉명동,20-24,934
봉명동,25-29,1300
봉명동,30-34,1248
봉명동,35-39,1007
봉명동,40-44,1225
봉명동,45-49,1232
봉명동,50-54,1557
봉명동,55-59,1522
봉명동,60-64,1430
봉명동,65-69,1221
봉명동,70-74,674
봉명동,75-79,513
봉명동,80-84,362
봉명동,85+,266
부성1동,0-4,1876
부성1동,5-9,1876
부성1동,10-14,1818
부성1동,15-19,2280
부성1동,20-24,4662
부성1동,25-29,5682
부성1동,30-34,5727
부성1동,35-39,4502
부성1동,40-44,4182
부성1동,45-49,3665
부성1동,50-54,4187
부성1동,55-59,3556
부성1동,60-64,2758
부성1동,65-69,1581
부성1동,70-74,860
부성1동,75-79,649
부성1동,80-84,502
부성1동,85+,376
부성2동,0-4,3517
부성2동,5-9,4748
부성2동,10-14,3767
부성2동,15-19,2560
부성2동,20-24,2722
부성2동,25-29,4187
부성2동,30-34,6323
부성2동,35-39,7638
부성2동,40-44,7519
부성2동,45-49,4568
부성2동,50-54,3767
부성2동,55-59,2955
부성2동,60-64,2256
부성2동,65-69,1313
부성2동,70-74,618
부성2동,75-79,412
부성2동,80-84,310
부성2동,85+,267
북면,0-4,27
북면,5-9,48
북면,10-14,81
북면,15-19,103
북면,20-24,121
북면,25-29,156
북면,30-34,137
북면,35-39,123
북면,40-44,223
북면,45-49,214
북면,50-54,345
북면,55-59,464
북면,60-64,620
북면,65-69,544
북면,70-74,338
북면,75-79,263
북면,80-84,179
북면,85+,227
불당1동,0-4,1351
불당1동,5-9,1638
불당1동,10-14,2114
불당1동,15-19,2253
불당1동,20-24,2045
불당1동,25-29,2145
불당1동,30-34,2792
불당1동,35-39,2726
불당1동,40-44,3009
불당1동,45-49,2999
불당1동,50-54,3234
불당1동,55-59,2309
불당1동,60-64,1623
불당1동,65-69,768
불당1동,70-74,405
불당1동,75-79,261
불당1동,80-84,194
불당1동,85+,158
불당2동,0-4,1759
불당2동,5-9,3292
불당2동,10-14,3658
불당2동,15-19,2401
불당2동,20-24,1732
불당2동,25-29,2074
불당2동,30-34,2652
불당2동,35-39,3826
불당2동,40-44,5210
불당2동,45-49,3706
불당2동,50-54,2852
불당2동,55-59,1745
불당2동,60-64,1058
불당2동,65-69,547
불당2동,70-74,280
불당2동,75-79,172
불당2동,80-84,121
불당2동,85+,91
성거읍,0-4,479
성거읍,5-9,776
성거읍,10-14,1038
성거읍,15-19,1108
성거읍,20-24,1172
성거읍,25-29,1261
성거읍,30-34,1165
성거읍,35-39,1210
성거읍,40-44,1783
성거읍,45-49,1974
