읍면동,연령5세구간,인구수
성거읍,50-54,2251
성거읍,55-59,1978
성거읍,60-64,1801
성거읍,65-69,1305
성거읍,70-74,870
성거읍,75-79,594
성거읍,80-84,431
성거읍,85+,385
성남면,0-4,15
성남면,5-9,35
성남면,10-14,48
성남면,15-19,70
성남면,20-24,99
성남면,25-29,89
성남면,30-34,73
성남면,35-39,66
성남면,40-44,108
성남면,45-49,148
성남면,50-54,221
성남면,55-59,279
성남면,60-64,408
성남면,65-69,401
성남면,70-74,282
성남면,75-79,207
성남면,80-84,182
성남면,85+,185
성정1동,0-4,343
성정1동,5-9,363
성정1동,10-14,454
성정1동,15-19,559
성정1동,20-24,839
성정1동,25-29,1406
성정1동,30-34,1419
성정1동,35-39,1092
성정1동,40-44,1182
성정1동,45-49,1203
성정1동,50-54,1626
성정1동,55-59,1573
성정1동,60-64,1642
성정1동,65-69,1263
성정1동,70-74,764
성정1동,75-79,539
성정1동,80-84,409
성정1동,85+,298
성정2동,0-4,271
성정2동,5-9,350
성정2동,10-14,457
성정2동,15-19,559
성정2동,20-24,1836
성정2동,25-29,3723
성정2동,30-34,3441
성정2동,35-39,2282
성정2동,40-44,2193
성정2동,45-49,1691
성정2동,50-54,1838
성정2동,55-59,1812
성정2동,60-64,1696
성정2동,65-69,1263
성정2동,70-74,670
성정2동,75-79,485
성정2동,80-84,339
성정2동,85+,233
성환읍,0-4,218
성환읍,5-9,447
성환읍,10-14,865
성환읍,15-19,992
성환읍,20-24,1250
성환읍,25-29,1143
성환읍,30-34,883
성환읍,35-39,789
성환읍,40-44,1347
성환읍,45-49,1638
성환읍,50-54,2141
성환읍,55-59,2131
성환읍,60-64,2266
성환읍,65-69,2032
성환읍,70-74,1351
성환읍,75-79,1155
성환읍,80-84,883
성환읍,85+,794
수신면,0-4,7
수신면,5-9,18
수신면,10-14,36
수신면,15-19,37
수신면,20-24,47
수신면,25-29,105
수신면,30-34,75
수신면,35-39,75
수신면,40-44,79
수신면,45-49,102
수신면,50-54,149
수신면,55-59,217
수신면,60-64,296
수신면,65-69,282
수신면,70-74,182
수신면,75-79,146
수신면,80-84,141
수신면,85+,146
신방동,0-4,1005
신방동,5-9,1984
신방동,10-14,2848
신방동,15-19,2724
신방동,20-24,2539
신방동,25-29,3156
신방동,30-34,3113
신방동,35-39,2738
신방동,40-44,4093
신방동,45-49,4159
신방동,50-54,4242
신방동,55-59,3452
신방동,60-64,2862
신방동,65-69,1784
신방동,70-74,1036
신방동,75-79,660
신방동,80-84,525
신방동,85+,420
신안동,0-4,1056
신안동,5-9,1207
신안동,10-14,1362
신안동,15-19,1544
신안동,20-24,4325
신안동,25-29,3533
신안동,30-34,2984
신안동,35-39,2424
신안동,40-44,2641
신안동,45-49,2312
신안동,50-54,2846
신안동,55-59,2868
신안동,60-64,2961
신안동,65-69,2149
신안동,70-74,1351
신안동,75-79,898
신안동,80-84,593
신안동,85+,526
쌍용1동,0-4,207
쌍용1동,5-9,380
쌍용1동,10-14,486
쌍용1동,15-19,576
쌍용1동,20-24,845
쌍용1동,25-29,1177
쌍용1동,30-34,893
쌍용1동,35-39,758
쌍용1동,40-44,858
쌍용1동,45-49,866
쌍용1동,50-54,1054
쌍용1동,55-59,1170
쌍용1동,60-64,1253
쌍용1동,65-69,1004
쌍용1동,70-74,568
쌍용1동,75-79,340
쌍용1동,80-84,260
쌍용1동,85+,225
쌍용2동,0-4,788
쌍용2동,5-9,1344
쌍용2동,10-14,1928
쌍용2동,15-19,2169
쌍용2동,20-24,2799
쌍용2동,25-29,2611
쌍용2동,30-34,2411
쌍용2동,35-39,1965
쌍용2동,40-44,2667
쌍용2동,45-49,2887
쌍용2동,50-54,3499
쌍용2동,55-59,3308
쌍용2동,60-64,2698
쌍용2동,65-69,1646
쌍용2동,70-74,892
쌍용2동,75-79,598
쌍용2동,80-84,432
쌍용2동,85+,393
쌍용3동,0-4,332
쌍용3동,5-9,550
쌍용3동,10-14,917
쌍용3동,15-19,1010
쌍용3동,20-24,1135
쌍용3동,25-29,1214
쌍용3동,30-34,1118
쌍용3동,35-39,898
쌍용3동,40-44,1176
쌍용3동,45-49,1411
쌍용3동,50-54,1689
쌍용3동,55-59,1697
쌍용3동,60-64,1504
쌍용3동,65-69,1071
쌍용3동,70-74,637
쌍용3동,75-79,468
쌍용3동,80-84,354
쌍용3동,85+,343
원성1동,0-4,106
원성1동,5-9,182
원성1동,10-14,229
원성1동,15-19,292
원성1동,20-24,404
원성1동,25-29,464
원성1동,30-34,406
원성1동,35-39,328
원성1동,40-44,480
원성1동,45-49,525
원성1동,50-54,674
원성1동,55-59,818
원성1동,60-64,924
원성1동,65-69,728
원성1동,70-74,501
원성1동,75-79,381
원성1동,80-84,277
원성1동,85+,231
원성2동,0-4,96
원성2동,5-9,141
원성2동,10-14,227
원성2동,15-19,337
원성2동,20-24,401
원성2동,25-29,543
원성2동,30-34,497
원성2동,35-39,356
원성2동,40-44,498
원성2동,45-49,607
원성2동,50-54,788
원성2동,55-59,955
원성2동,60-64,968
원성2동,65-69,860
원성2동,70-74,593
원성2동,75-79,442
원성2동,80-84,417
원성2동,85+,306
일봉동,0-4,375
일봉동,5-9,937
일봉동,10-14,1507
일봉동,15-19,1556
일봉동,20-24,1294
일봉동,25-29,1112
일봉동,30-34,935
일봉동,35-39,1026
일봉동,40-44,1792
일봉동,45-49,2052
일봉동,50-54,2127
일봉동,55-59,2016
일봉동,60-64,1795
일봉동,65-69,1230
일봉동,70-74,782
일봉동,75-79,585
일봉동,80-84,423
일봉동,85+,317
입장면,0-4,60
입장면,5-9,118
입장면,10-14,177
입장면,15-19,252
입장면,20-24,298
입장면,25-29,401
입장면,30-34,327
입장면,35-39,274
입장면,40-44,378
입장면,45-49,474
입장면,50-54,707
입장면,55-59,917
입장면,60-64,974
입장면,65-69,843
입장면,70-74,556
입장면,75-79,430
입장면,80-84,361
입장면,85+,331
중앙동,0-4,61
중앙동,5-9,79
중앙동,10-14,91
중앙동,15-19,119
중앙동,20-24,180
중앙동,25-29,243
중앙동,30-34,257
중앙동,35-39,212
중앙동,40-44,259
중앙동,45-49,272
중앙동,50-54,409
중앙동,55-59,474
중앙동,60-64,581
중앙동,65-69,525
중앙동,70-74,396
중앙동,75-79,318
중앙동,80-84,245
중앙동,85+,167
직산읍,0-4,406
직산읍,5-9,595
직산읍,10-14,770
직산읍,15-19,854
직산읍,20-24,1009
직산읍,25-29,1312
직산읍,30-34,1230
직산읍,35-39,1230
직산읍,40-44,1617
직산읍,45-49,1686
직산읍,50-54,1910
직산읍,55-59,1816
직산읍,60-64,1730
직산읍,65-69,1185
직산읍,70-74,739
직산읍,75-79,569
직산읍,80-84,448
직산읍,85+,411
천안시,0-4,19179
천안시,5-9,28679
천안시,10-14,34383
천안시,15-19,33180
천안시,20-24,40764
천안시,25-29,47886
천안시,30-34,49555
천안시,35-39,47389
천안시,40-44,57792
천안시,45-49,52867
천안시,50-54,57653
천안시,55-59,52193
천안시,60-64,47428
천안시,65-69,33887
천안시,70-74,20364
천안시,75-79,14530
천안시,80-84,11075
천안시,85+,9733
천안시동남구,0-4,6356
천안시동남구,5-9,9576
천안시동남구,10-14,12497
천안시동남구,15-19,12940
천안시동남구,20-24,16161
천안시동남구,25-29,17249
천안시동남구,30-34,16810
천안시동남구,35-39,15260
천안시동남구,40-44,20274
천안시동남구,45-49,20430
천안시동남구,50-54,23413
천안시동남구,55-59,22355
천안시동남구,60-64,22002
천안시동남구,65-69,16696
천안시동남구,70-74,10494
천안시동남구,75-79,7410
천안시동남구,80-84,5733
천안시동남구,85+,5137
천안시서북구,0-4,12823
천안시서북구,5-9,19103
천안시서북구,10-14,21886
천안시서북구,15-19,20240
천안시서북구,20-24,24603
천안시서북구,25-29,30637
천안시서북구,30-34,32745
천안시서북구,35-39,32129
천안시서북구,40-44,37518
천안시서북구,45-49,32437
천안시서북구,50-54,34240
천안시서북구,55-59,29838
천안시서북구,60-64,25426
천안시서북구,65-69,17191
천안시서북구,70-74,9870
천안시서북구,75-79,7120
천안시서북구,80-84,5342
천안시서북구,85+,4596
청룡동,0-4,2193
청룡동,5-9,3087
청룡동,10-14,3648
청룡동,15-19,3508
청룡동,20-24,3248
청룡동,25-29,3521
청룡동,30-34,4148
청룡동,35-39,4279
청룡동,40-44,5472
청룡동,45-49,5009
청룡동,50-54,5271
청룡동,55-59,4400
청룡동,60-64,3916
청룡동,65-69,2831
청룡동,70-74,1678
청룡동,75-79,1039
청룡동,80-84,802
청룡동,85+,664
풍세면,0-4,304
풍세면,5-9,309
풍세면,10-14,228
풍세면,15-19,251
풍세면,20-24,376
풍세면,25-29,650
풍세면,30-34,782
풍세면,35-39,617
풍세면,40-44,660
풍세면,45-49,589
풍세면,50-54,684
풍세면,55-59,736
풍세면,60-64,855
풍세면,65-69,667
풍세면,70-74,417
풍세면,75-79,246
풍세면,80-84,232
풍세면,85+,251
